Label,AUC,Threshold,Sensitivity,Specificity,Accuracy,Precision,Recall,F1-Score
Cardiomegaly,0.8306400800734314,0.00017838115,0.7321100917431193,0.788884318296083,0.7875044595076703,0.07951375049820646,0.7321100917431193,0.1434477799748337
Emphysema,0.8694279251390337,0.00033585628,0.7261904761904762,0.8755018248175183,0.8721459150909739,0.11825525040387722,0.7261904761904762,0.2033898305084746
Effusion,0.8715956836356467,0.10221253,0.8039513677811551,0.7892077607113985,0.7909382804138423,0.33651399491094147,0.8039513677811551,0.4744394618834081
Hernia,0.8710480346843984,1.7989496e-06,0.717948717948718,0.9239669421487603,0.9236086336068497,0.016184971098265895,0.717948717948718,0.03165630299604296
Infiltration,0.7039573166707926,0.19635959,0.5438111975897565,0.7545686242611572,0.717133428469497,0.3236700537955768,0.5438111975897565,0.405807962529274
Mass,0.8161234499559892,0.017578546,0.6876106194690266,0.8143608528223912,0.8079735997145915,0.1642706131078224,0.6876106194690266,0.2651877133105802
Nodule,0.7270285950007546,0.046394996,0.5607255520504731,0.7751465305350728,0.7630217623974314,0.13002926115581565,0.5607255520504731,0.21110451306413303
Atelectasis,0.7937147982099164,0.06816264,0.7798042704626335,0.6657910388580491,0.6772208348198359,0.20633239171374765,0.7798042704626335,0.3263216679076694
Pneumothorax,0.8591534123445614,0.0065884762,0.7914230019493177,0.7856341714178895,0.7858990367463432,0.15039822189294313,0.7914230019493177,0.2527626459143969
Pleural_Thickening,0.695242166271177,0.005162358,0.4381679389312977,0.8540585235885892,0.8419104530859793,0.08285219399538106,0.4381679389312977,0.13935421218742414
Pneumonia,0.6127717429324266,0.00013803266,0.2996742671009772,0.8926617534023602,0.8845433464145558,0.0373073803730738,0.2996742671009772,0.06635412910205554
Fibrosis,0.7141881740500603,1.544977e-05,0.6329113924050633,0.6848652071648272,0.6841330717088834,0.027905678805636946,0.6329113924050633,0.05345449685954831
Edema,0.766491793042116,0.00019674875,0.5898004434589801,0.8475401629272289,0.8423564038530146,0.07356194690265487,0.5898004434589801,0.13080895008605853
Consolidation,0.7230443693952024,0.0066608246,0.7043189368770764,0.6350076669299753,0.6377987870139137,0.07490283829937582,0.7043189368770764,0.13540557802852884
