Label,AUC,Threshold,Sensitivity,Specificity,Accuracy,Precision,Recall,F1-Score
Cardiomegaly,0.5866486486486486,0.09933645,0.72,0.46216216216216216,0.4928571428571429,0.15319148936170213,0.72,0.25263157894736843
Emphysema,0.44888147566719,0.0052097235,0.9821428571428571,0.04395604395604396,0.16904761904761906,0.13647642679900746,0.9821428571428571,0.23965141612200438
Effusion,0.5232635854197727,0.035302587,0.4716981132075472,0.6158038147138964,0.5976190476190476,0.15060240963855423,0.4716981132075472,0.22831050228310504
Hernia,0.36178378378378373,0.0017075561,0.98,0.013513513513513514,0.12857142857142856,0.11835748792270531,0.98,0.21120689655172412
Infiltration,0.6067421005681017,0.24268682,0.3728813559322034,0.8116343490304709,0.75,0.24444444444444444,0.3728813559322034,0.2953020134228188
Mass,0.5575462962962963,0.013461041,0.8666666666666667,0.2972222222222222,0.37857142857142856,0.17049180327868851,0.8666666666666667,0.284931506849315
Nodule,0.5269176280105242,0.010957262,0.7592592592592593,0.33879781420765026,0.39285714285714285,0.14487632508833923,0.7592592592592593,0.2433234421364985
Atelectasis,0.4174537037037037,5.6836214e-08,0.9833333333333333,0.008333333333333333,0.14761904761904762,0.14182692307692307,0.9833333333333333,0.24789915966386553
Pneumothorax,0.5677210460772105,0.14815502,0.6727272727272727,0.4849315068493151,0.5095238095238095,0.16444444444444445,0.6727272727272727,0.2642857142857143
Pleural_Thickening,0.5055724899980949,0.0673544,0.22413793103448276,0.8397790055248618,0.7547619047619047,0.18309859154929578,0.22413793103448276,0.20155038759689925
Pneumonia,0.35362162162162164,0.062006842,0.0,1.0,0.8809523809523809,0.0,0.0,0.0
Fibrosis,0.4761404630348418,0.0076281014,0.9508196721311475,0.07242339832869081,0.2,0.1483375959079284,0.9508196721311475,0.25663716814159293
Edema,0.5244864864864864,0.011294472,0.38,0.7216216216216216,0.680952380952381,0.1557377049180328,0.38,0.22093023255813957
Consolidation,0.4338080304354532,0.008269162,0.9245283018867925,0.11444141689373297,0.21666666666666667,0.13101604278074866,0.9245283018867925,0.22950819672131145
