Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.8263463645546754,-0.09275463544532458,No,0.198765,0.1805157593123209,-0.018249240687679108,No,0.863322,0.1155963302752293,-0.7477256697247707,No,0.820225,0.9744916161255798,0.1542666161255798,Yes,0.819083,0.9958864664747018,0.1768034664747018,Yes,0.112312,0.4117647058823529,0.29945270588235295,Yes,0.865,0.1155963302752293,-0.7494036697247707,No,0.489469,0.5,0.010531000000000013,Yes
Emphysema,0.916227,0.8425712457276099,-0.07365575427239013,No,0.184152,0.2599388379204893,0.07578683792048926,Yes,0.864245,0.1686507936507936,-0.6955942063492064,No,0.82103,0.9784159828754906,0.15738598287549055,Yes,0.819995,0.9970346715328468,0.17703967153284672,Yes,0.103055,0.5666666666666667,0.46361166666666664,Yes,0.866,0.1686507936507936,-0.6973492063492064,No,0.445399,0.5,0.05460100000000001,Yes
Effusion,0.888239,0.8396350445084808,-0.04860395549151919,No,0.497818,0.2042770507500798,-0.2935409492499202,No,0.838296,0.121580547112462,-0.716715452887538,No,0.799491,0.8888244737780949,0.08933347377809497,Yes,0.794271,0.990854890864996,0.19658389086499606,Yes,0.354027,0.6387225548902196,0.2846955548902196,Yes,0.839,0.121580547112462,-0.717419452887538,No,0.484694,0.5,0.015305999999999986,Yes
Hernia,0.82202,0.7351855351855352,-0.08683446481446477,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes,0.802127,0.0017392079914377,-0.8003877920085624,No,0.802346,0.0,-0.802346,No,0.00719748,0.0017392079914377,-0.0054582720085623,No,0.717,1.0,0.28300000000000003,Yes,0.581222,0.5,-0.08122200000000002,No
Infiltration,0.715871,0.682059175278895,-0.033811824721105,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No,0.648673,0.8223778094898323,0.17370480948983225,Yes,0.645026,1.0,0.354974,Yes,0.288003,0.0,-0.288003,No,0.666,0.0,-0.666,No,0.476786,0.5,0.023214000000000012,Yes
Mass,0.869582,0.7839472209962338,-0.08563477900376615,No,0.308678,0.2212943632567849,-0.08738363674321512,No,0.757089,0.1407079646017699,-0.6163810353982301,No,0.821655,0.9500981091687478,0.1284431091687478,Yes,0.825244,0.9930496853573776,0.1678056853573776,Yes,0.193864,0.5179153094462541,0.32405130944625404,Yes,0.758,0.1407079646017699,-0.6172920353982301,No,0.585565,0.5,-0.085565,No
Nodule,0.792307,0.6800432255386306,-0.11226377446136937,No,0.228502,0.0871428571428571,-0.1413591428571429,No,0.703614,0.0481072555205047,-0.6555067444794953,No,0.735723,0.9430074919728862,0.20728449197288623,Yes,0.737614,0.9966439780676876,0.25902997806768757,Yes,0.136427,0.4621212121212121,0.3256942121212121,Yes,0.7,0.0481072555205047,-0.6518927444794953,No,0.485297,0.5,0.014703000000000022,Yes
Atelectasis,0.818337,0.7544792988075048,-0.06385770119249523,No,0.345336,0.0295523685354193,-0.31578363146458066,No,0.799911,0.0151245551601423,-0.7847864448398577,No,0.694521,0.9004191937210132,0.20589819372101315,Yes,0.682717,0.999058287073751,0.316341287073751,Yes,0.2282,0.6415094339622641,0.41330943396226416,Yes,0.8,0.0151245551601423,-0.7848754448398577,No,0.458412,0.5,0.041588000000000014,Yes
Pneumothorax,0.886252,0.8266199251282708,-0.05963207487172928,No,0.277599,0.2562170308967596,-0.02138196910324036,No,0.830119,0.1656920077972709,-0.6644269922027292,No,0.789749,0.955984659293614,0.16623565929361395,Yes,0.787684,0.9938779325170576,0.20619393251705753,Yes,0.166667,0.5647840531561462,0.3981170531561462,Yes,0.831,0.1656920077972709,-0.6653079922027291,No,0.465026,0.5,0.034974000000000005,Yes
Pleural_Thickening,0.812256,0.7055331851898088,-0.10672281481019119,No,0.136327,0.0738853503184713,-0.06244164968152871,No,0.828691,0.0442748091603053,-0.7844161908396946,No,0.663107,0.9675793792365324,0.30447237923653236,Yes,0.657618,0.995360374844963,0.33774237484496294,Yes,0.0742729,0.2230769230769231,0.1488040230769231,Yes,0.83,0.0442748091603053,-0.7857251908396946,No,0.441709,0.5,0.05829099999999998,Yes
