Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8239739333641115,0.5,0.9752943275062433,0.9971205265322912,0.09908256880733946,0.46153846153846156,0.09908256880733946,0.16314199395770393
Emphysema,0.8593152136919244,0.5,0.9777916518016411,0.9961678832116788,0.17857142857142858,0.5172413793103449,0.17857142857142858,0.26548672566371684
Effusion,0.8533119538181893,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.6136125954307773,0.5,0.0017392079914377453,0.0,1.0,0.0017392079914377453,1.0,0.003472376797400169
Infiltration,0.687114593347305,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.8047407512690018,0.5,0.9505886550124866,0.9990607682915376,0.03716814159292035,0.6774193548387096,0.03716814159292035,0.07046979865771812
Nodule,0.7055380028068493,0.5,0.943498037816625,1.0,0.0007886435331230284,1.0,0.0007886435331230284,0.0015760441292356187
Atelectasis,0.7685486380880282,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8407544601187883,0.5,0.9550927577595434,0.9986914664921955,0.04580896686159844,0.6266666666666667,0.04580896686159844,0.08537693006357856
Pleural_Thickening,0.7212465797185508,0.5,0.9698983232251159,0.9985300197528596,0.0183206106870229,0.2727272727272727,0.0183206106870229,0.034334763948497854
Pneumonia,0.6252072373764694,0.5,0.9855511951480557,0.9991861464032192,0.003257328990228013,0.05263157894736842,0.003257328990228013,0.006134969325153374
Fibrosis,0.6951225342564579,0.5,0.9849714591509098,0.9988691876243894,0.012658227848101266,0.13793103448275862,0.012658227848101266,0.02318840579710145
Edema,0.8323296995314647,0.5,0.9776578665715305,0.9967232512629136,0.04878048780487805,0.23404255319148937,0.04878048780487805,0.08073394495412844
Consolidation,0.7392238068943245,0.5,0.9596414555833036,0.999860601273175,0.0011074197120708748,0.25,0.0011074197120708748,0.002205071664829107
