Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8175457090729621,-0.10155529092703786,No,0.198765,0.1109298531810766,-0.0878351468189234,No,0.863322,0.0623853211009174,-0.8009366788990826,No
Emphysema,0.916227,0.8528957210925733,-0.06333127890742674,No,0.184152,0.2436090225563909,0.059457022556390876,Yes,0.864245,0.1607142857142857,-0.7035307142857143,No
Effusion,0.888239,0.8345306671910667,-0.05370833280893328,No,0.497818,0.0007595898214963,-0.49705841017850366,No,0.838296,0.0003799392097264,-0.8379160607902736,No
Hernia,0.82202,0.7421688058051694,-0.07985119419483055,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6677178439472362,-0.048153156052763824,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7763690341123969,-0.09321296588760308,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6858406091626392,-0.10646639083736076,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7566371888237602,-0.061699811176239794,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.84401051217736,-0.042241487822640034,No,0.277599,0.0058252427184466,-0.2717737572815534,No,0.830119,0.0029239766081871,-0.827195023391813,No
Pleural_Thickening,0.812256,0.7336394038865408,-0.07861659611345917,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.6178972090830539,-0.1472217909169461,No,0.056197,0.0125786163522012,-0.0436183836477988,No,0.726619,0.006514657980456,-0.720104342019544,No
Fibrosis,0.826327,0.7088678449636193,-0.11745915503638071,No,0.0797738,0.0232558139534883,-0.0565179860465117,No,0.795252,0.0126582278481012,-0.7825937721518987,No
Edema,0.908537,0.789777980898347,-0.11875901910165299,No,0.132596,0.0572597137014314,-0.07533628629856859,No,0.908511,0.0310421286031042,-0.8774688713968958,No
Consolidation,0.812462,0.7570593825711865,-0.05540261742881347,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
