Label,AUC_Baseline,AUC_Ours,AUC_Improvement,AUC_Better,F1_Score_Baseline,F1_Score_Ours,F1_Score_Improvement,F1_Score_Better,Recall_Baseline,Recall_Ours,Recall_Improvement,Recall_Better,Accuracy_Baseline,Accuracy_Ours,Accuracy_Improvement,Accuracy_Better,Specificity_Baseline,Specificity_Ours,Specificity_Improvement,Specificity_Better,Precision_Baseline,Precision_Ours,Precision_Improvement,Precision_Better,Sensitivity_Baseline,Sensitivity_Ours,Sensitivity_Improvement,Sensitivity_Better,Threshold_Baseline,Threshold_Ours,Threshold_Improvement,Threshold_Better
Cardiomegaly,0.8878066228309078,0.8294573448378089,-6.572295868557878,✗,0.0,0.0710659898477157,0.0,,0.0,0.0385321100917431,0.0,,0.9756956831965752,0.975517302889761,-0.018282371223551325,✗,1.0,0.9988573517985284,-0.11426482014715855,✗,0.0,0.4565217391304347,0.0,,0.0,0.0385321100917431,0.0,,0.5,0.25,-50.0,✗
Emphysema,0.7718818792723903,0.7361320204785077,-4.631519375423346,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.97752408134142,0.97752408134142,0.0,=,1.0,1.0,0.0,=,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.25,-50.0,✗
Effusion,0.8332853546181198,0.8021798762602188,-3.7328723210497445,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.882625758116304,0.882625758116304,0.0,=,1.0,1.0,0.0,=,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.35,-30.000000000000004,✗
Hernia,0.5044363498908954,0.6016414380050744,19.270040340114974,✓,0.0034723767974001,0.0034723767974001,0.0,=,1.0,1.0,0.0,=,0.0017392079914377,0.0017392079914377,0.0,=,0.0,0.0,0.0,,0.0017392079914377,0.0017392079914377,0.0,=,1.0,1.0,0.0,=,0.5,0.15,-70.0,✗
Infiltration,0.676071952836048,0.665840443597779,-1.513375787199709,✗,0.0,0.0005018820577164,0.0,,0.0,0.0002510670348983,0.0,,0.8223778094898323,0.8223778094898323,0.0,=,1.0,0.9999457730058025,-0.005422699419754817,✗,0.0,0.5,0.0,,0.0,0.0002510670348983,0.0,,0.5,0.45,-9.999999999999998,✗
Mass,0.7393928324152967,0.6783633845921117,-8.253995054810934,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.949607563325009,0.9495183731716018,-0.009392317084632488,✗,1.0,0.9999060768291538,-0.009392317084622182,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.35,-30.000000000000004,✗
Nodule,0.6270672629879406,0.6070676976440001,-3.189381191523795,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9434534427399216,0.943319657509811,-0.014180374361888912,✗,1.0,0.9998581962563812,-0.014180374361882908,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.35,-30.000000000000004,✗
Atelectasis,0.753210978266698,0.7355287592848414,-2.3475784995257567,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.8997502675704602,0.8997502675704602,0.0,=,1.0,1.0,0.0,=,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.35,-30.000000000000004,✗
Pneumothorax,0.8119083973707623,0.7816531149091742,-3.7264403914979836,✗,0.0,0.0019361084220716,0.0,,0.0,0.0009746588693957,0.0,,0.9542454513021762,0.9540224759186586,-0.02336666978221274,✗,1.0,0.9997195999626132,-0.028040003738682984,✗,0.0,0.1428571428571428,0.0,,0.0,0.0009746588693957,0.0,,0.5,0.25,-50.0,✗
Pleural_Thickening,0.7286753451139814,0.6923114282197633,-4.990414062730486,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9707902247591866,0.9707010346057796,-0.00918737654462379,✗,1.0,0.9999081262345536,-0.009187376544639303,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.25,-50.0,✗
Pneumonia,0.7011728711343979,0.679509210640068,-3.089631870565837,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9863093114520156,0.9863093114520156,0.0,=,1.0,1.0,0.0,=,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.25,-50.0,✗
Fibrosis,0.7330172736600302,0.6903774880735079,-5.81702329791187,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.985907955761684,0.985907955761684,0.0,=,1.0,1.0,0.0,=,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.25,-50.0,✗
Edema,0.8710272625454563,0.8447183668164407,-3.020444578523457,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9798876204067072,0.979709240099893,-0.01820415965048375,✗,1.0,0.9998179584034952,-0.018204159650481166,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.25,-50.0,✗
Consolidation,0.7595572904324875,0.7449280398454975,-1.9260233258587038,✗,0.0,0.0,0.0,,0.0,0.0,0.0,,0.9597306457367106,0.9597306457367106,0.0,=,1.0,1.0,0.0,=,0.0,0.0,0.0,,0.0,0.0,0.0,,0.5,0.25,-50.0,✗
