Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.7021335443353793,0.1,0.6008740635033892,0.5985648338589515,0.6935779816513762,0.04126187097478441,0.6935779816513762,0.07788996497012157,378,8783,13096,167
Emphysema,0.7132971809465879,0.15,0.9111666072065644,0.9267335766423358,0.23412698412698413,0.06844547563805105,0.23412698412698413,0.1059245960502693,118,1606,20314,386
Effusion,0.769545791428424,0.15,0.7571798073492686,0.7799616006467259,0.5858662613981763,0.26148889265728337,0.5858662613981763,0.3615898698557861,1542,4355,15437,1090
Hernia,0.8152231061321971,0.05,0.8747324295397788,0.8754523118159482,0.46153846153846156,0.006414825374198147,0.46153846153846156,0.01265377855887522,18,2788,19597,21
Infiltration,0.6705146321462223,0.2,0.7198091330717089,0.7749579740794967,0.464474014561888,0.30833333333333335,0.464474014561888,0.3706300711209055,1850,4150,14291,2133
Mass,0.6463750227535114,0.1,0.16611666072065645,0.12416643185873955,0.9566371681415929,0.054786883584207594,0.9566371681415929,0.10363836824696802,1081,18650,2644,49
Nodule,0.5974797105831817,0.2,0.7546824830538709,0.7800151257326526,0.33201892744479494,0.08295566502463055,0.33201892744479494,0.13274475800094593,421,4654,16502,847
Atelectasis,0.7083226437421861,0.15,0.48822689975026756,0.4506344171292625,0.8256227758007118,0.14343122102009273,0.8256227758007118,0.24440347642875954,1856,11084,9092,392
Pneumothorax,0.7683330655048375,0.15,0.8018194791295041,0.8141882418917656,0.543859649122807,0.12307013674459638,0.543859649122807,0.20071942446043164,558,3976,17422,468
Pleural_Thickening,0.6785755989590914,0.2,0.911300392436675,0.9333455831687262,0.17862595419847327,0.07461734693877552,0.17862595419847327,0.10526315789473684,117,1451,20318,538
Pneumonia,0.6651488773282863,0.1,0.5320638601498394,0.5296378351494325,0.7068403908794788,0.020433145009416197,0.7068403908794788,0.03971812940422806,217,10403,11714,90
Fibrosis,0.6700127738856202,0.15,0.6723599714591509,0.673783245883843,0.5727848101265823,0.024482618693358583,0.5727848101265823,0.046958100921001424,181,7212,14896,135
Edema,0.8409426182485803,0.15,0.9224937566892615,0.9342829836617668,0.34811529933481156,0.09806371018113678,0.34811529933481156,0.1530214424951267,157,1444,20529,294
Consolidation,0.7271063062718158,0.85,0.8473064573671066,0.8669671483667116,0.3787375415282392,0.10670826833073323,0.3787375415282392,0.1665043816942551,342,2863,18658,561
