Disease,AUC,Threshold,Precision,Recall,F1_Score,Accuracy,Specificity
Infiltration,0.7034,0.2,0.3424,0.4966,0.4053,0.7412,0.7940
Effusion,0.8759,0.25,0.4548,0.6170,0.5236,0.8682,0.9016
Atelectasis,0.8037,0.15,0.2778,0.5694,0.3735,0.8085,0.8351
Nodule,0.7510,0.15,0.2519,0.3131,0.2792,0.9086,0.9443
Mass,0.8600,0.15,0.3245,0.5230,0.4005,0.9211,0.9422
Pneumothorax,0.8849,0.15,0.3651,0.5010,0.4224,0.9373,0.9582
Consolidation,0.8041,0.1,0.1519,0.4729,0.2299,0.8725,0.8892
Pleural_Thickening,0.7828,0.1,0.1566,0.3282,0.2120,0.9287,0.9468
Cardiomegaly,0.9114,0.15,0.3207,0.4037,0.3574,0.9647,0.9787
Emphysema,0.9102,0.15,0.4099,0.4603,0.4336,0.9730,0.9848
Edema,0.8926,0.1,0.1682,0.4812,0.2493,0.9417,0.9512
Fibrosis,0.7953,0.05,0.0818,0.3196,0.1303,0.9399,0.9488
Pneumonia,0.7442,0.05,0.0551,0.1792,0.0843,0.9467,0.9574
Hernia,0.7656,0.5,0.0000,0.0000,0.0000,0.9983,1.0000
Mean (Macro),0.8204,-,0.2401,0.4047,0.2930,0.9107,0.9309
