Disease,AUC,Threshold,Precision,Recall,F1_Score,Accuracy,Specificity
Infiltration,0.6970,0.15,0.2339,0.7926,0.3612,0.5019,0.4391
Effusion,0.8719,0.2,0.3969,0.7055,0.5080,0.8396,0.8574
Atelectasis,0.7886,0.15,0.2406,0.6526,0.3516,0.7587,0.7705
Nodule,0.7443,0.2,0.2991,0.2942,0.2966,0.9211,0.9587
Mass,0.8544,0.2,0.2916,0.5611,0.3838,0.9092,0.9277
Pneumothorax,0.8773,0.2,0.2528,0.6413,0.3626,0.8969,0.9091
Consolidation,0.7942,0.2,0.1288,0.5504,0.2088,0.8320,0.8438
Pleural_Thickening,0.7739,0.2,0.1462,0.3313,0.2029,0.9240,0.9418
Cardiomegaly,0.9032,0.2,0.2035,0.5578,0.2982,0.9362,0.9456
Emphysema,0.8962,0.25,0.2823,0.4901,0.3582,0.9605,0.9714
Edema,0.8895,0.25,0.1906,0.3415,0.2446,0.9576,0.9702
Fibrosis,0.7603,0.15,0.0899,0.2215,0.1279,0.9574,0.9679
Pneumonia,0.7474,0.2,0.0651,0.1857,0.0964,0.9524,0.9630
Hernia,0.6049,0.95,0.0019,1.0000,0.0038,0.0899,0.0883
Mean (Macro),0.8002,-,0.2017,0.5233,0.2718,0.8170,0.8253
