Disease,AUC,Threshold,Precision,Recall,F1_Score,Accuracy,Specificity
Infiltration,0.7034,0.2,0.3339,0.5137,0.4047,0.7316,0.7787
Effusion,0.8759,0.25,0.4715,0.5980,0.5273,0.8742,0.9109
Atelectasis,0.8043,0.2,0.3125,0.4831,0.3795,0.8416,0.8816
Nodule,0.7512,0.15,0.2488,0.3194,0.2797,0.9070,0.9422
Mass,0.8601,0.15,0.3542,0.4867,0.4100,0.9294,0.9529
Pneumothorax,0.8849,0.15,0.3571,0.5127,0.4210,0.9355,0.9557
Consolidation,0.8039,0.1,0.1656,0.4452,0.2414,0.8873,0.9059
Pleural_Thickening,0.7842,0.1,0.1426,0.3542,0.2033,0.9189,0.9359
Cardiomegaly,0.9120,0.2,0.3199,0.4073,0.3584,0.9645,0.9784
Emphysema,0.9097,0.15,0.4291,0.4504,0.4395,0.9742,0.9862
Edema,0.8911,0.05,0.1638,0.5144,0.2485,0.9374,0.9461
Fibrosis,0.7956,0.1,0.1114,0.2342,0.1510,0.9629,0.9733
Pneumonia,0.7433,0.05,0.0505,0.1466,0.0751,0.9506,0.9617
Hernia,0.7619,0.5,0.0000,0.0000,0.0000,0.9983,1.0000
Mean (Macro),0.8201,-,0.2472,0.3904,0.2957,0.9152,0.9364
