Disease,BCE_AUC,Focal_AUC,BCE_Threshold,Focal_Threshold
Infiltration,0.7034,0.6970,0.2,0.15
Effusion,0.8759,0.8719,0.25,0.2
Atelectasis,0.8037,0.7886,0.15,0.15
Nodule,0.7510,0.7443,0.15,0.2
Mass,0.8600,0.8544,0.15,0.2
Pneumothorax,0.8849,0.8773,0.15,0.2
Consolidation,0.8041,0.7942,0.1,0.2
Pleural_Thickening,0.7828,0.7739,0.1,0.2
Cardiomegaly,0.9114,0.9032,0.15,0.2
Emphysema,0.9102,0.8962,0.15,0.25
Edema,0.8926,0.8895,0.1,0.25
Fibrosis,0.7953,0.7603,0.05,0.15
Pneumonia,0.7442,0.7474,0.05,0.2
Hernia,0.7656,0.6049,0.5,0.95
Mean (Macro),0.8204,0.8002,-,-
