Threshold,TP,FP,TN,FN,Precision,Recall,F1,Specificity,FPR,Accuracy
0.01,28,5500,16885,11,0.0051,0.7179,0.0100,0.7543,0.2457,0.7542
0.02,24,4200,18185,15,0.0057,0.6154,0.0112,0.8124,0.1876,0.8120
0.03,21,3400,18985,18,0.0061,0.5385,0.0121,0.8481,0.1519,0.8476
0.05,15,2500,19885,24,0.0060,0.3846,0.0116,0.8883,0.1117,0.8874
0.07,12,1800,20585,27,0.0066,0.3077,0.0128,0.9196,0.0804,0.9185
0.1,8,1200,21185,31,0.0066,0.2051,0.0128,0.9464,0.0536,0.9451
0.12,6,900,21485,33,0.0066,0.1538,0.0128,0.9598,0.0402,0.9584
0.15,5,600,21785,34,0.0083,0.1282,0.0155,0.9732,0.0268,0.9717
0.18,4,420,21965,35,0.0094,0.1026,0.0172,0.9812,0.0188,0.9797
0.2,3,300,22085,36,0.0099,0.0769,0.0175,0.9866,0.0134,0.9850
0.25,2,180,22205,37,0.0110,0.0513,0.0200,0.9920,0.0080,0.9903
0.3,1,100,22285,38,0.0099,0.0256,0.0143,0.9955,0.0045,0.9938
0.35,1,50,22335,38,0.0196,0.0256,0.0222,0.9978,0.0022,0.9961
0.4,0,25,22360,39,0.0000,0.0000,0.0000,0.9989,0.0011,0.9971
0.45,0,10,22375,39,0.0000,0.0000,0.0000,0.9996,0.0004,0.9978
0.5,0,0,22385,39,0.0000,0.0000,0.0000,1.0000,0.0000,0.9983
