,Infiltration,Effusion,Atelectasis,Nodule,Mass,Pneumothorax,Consolidation,Pleural_Thickening,Cardiomegaly,Emphysema,Edema,Fibrosis,Pneumonia,Hernia
Infiltration,100.0,20.106564793405045,16.40695687141852,7.771187292651051,5.825877148889112,4.755202573640293,6.13752890318689,3.769980898763446,2.9506383834321905,2.2569618980597164,4.931135015582588,1.7341912134311854,3.041117925002513,0.16587915954559163
Effusion,30.036795073965607,100.0,24.592625966809344,6.848389276864158,9.416535255688219,7.479161973417437,9.664338815048435,6.375309754449201,7.982278290906359,2.695802357888413,4.452954869715401,1.4117293684763836,2.019974468724187,0.15769317413831943
Atelectasis,28.237736828445364,28.332900769962798,100.0,5.104247772298642,6.393286616489316,6.696080975862964,10.580500043256338,4.291028635695129,3.200968941949996,3.6681373821264818,1.9119300977593217,1.903278830348646,2.266632061597024,0.34605069642702657
Nodule,24.419522982151317,14.4053072184489,9.319222871584268,100.0,14.31053546043279,5.386194913915653,6.760385405149265,6.491865424103617,1.7058916442900016,1.816458695308798,2.069183383351761,2.622018638445743,1.105670510187964,0.157952930026852
Mass,20.044967139398132,21.687997232791425,12.781044621238328,15.669318574887583,100.0,7.454168107921134,10.549982704946386,7.8173642338291245,1.7640954686959531,3.718436527153234,2.2310619162919405,2.023521272915946,1.2279488066413005,0.4323763403666551
Pneumothorax,17.842323651452283,18.78536401357978,14.598264805733685,6.431535269709543,8.129007921539042,100.0,4.205960015088646,5.450773293096944,0.9241795548849491,14.089023010184837,0.6224066390041494,1.5088645794039985,0.7732930969445493,0.16974726518294983
Consolidation,26.162416970216412,27.57660167130919,26.205271052067708,9.170773516177416,13.070494964645382,4.778230126419541,100.0,5.37818727233769,3.6211699164345403,2.2069852153417613,3.4711806299550036,1.6927362331262055,2.635526033854725,0.08570816370259267
Pleural_Thickening,22.156573116691288,25.08124076809454,14.652880354505172,12.141802067946825,13.353028064992614,8.537666174298375,7.41506646971935,100.0,3.2791728212703104,4.460856720827179,1.8906942392909896,5.199409158050221,1.4180206794682424,0.2363367799113737
Cardiomegaly,21.145533141210375,38.29250720461095,13.328530259365994,3.890489913544669,3.674351585014409,1.7651296829971181,6.087896253602305,3.9985590778097984,100.0,1.585014409221902,4.57492795389049,1.8731988472622478,1.4769452449567724,0.2521613832853026
Emphysema,17.845786963434023,14.268680445151032,16.85214626391097,4.5707472178060415,8.54531001589825,29.689984101748806,4.093799682034977,6.001589825119237,1.7488076311605723,100.0,1.192368839427663,1.4308426073131957,0.9141494435612083,0.1589825119236884
Edema,42.59661311333044,25.749023013460704,9.596178897090752,5.688232739904472,5.601389491967,1.4329135909683022,7.034303082935302,2.7789839339991316,5.5145462440295265,1.3026487190620928,100.0,0.39079461571862784,14.763352149370387,0.13026487190620928
Fibrosis,20.462633451957295,11.150652431791222,13.048635824436536,9.845788849347569,6.93950177935943,4.744958481613286,4.68564650059312,10.438908659549229,3.084223013048636,2.135231316725979,0.5338078291814947,100.0,0.6524317912218268,0.4744958481613286
Pneumonia,42.27812718378756,18.798043326345212,18.3088749126485,4.8916841369671555,4.96156533892383,2.86512928022362,8.59538784067086,3.3542976939203357,2.86512928022362,1.6072676450034942,23.75960866526904,0.7686932215234101,100.0,0.20964360587002098
Hernia,14.537444933920703,9.251101321585903,17.62114537444934,4.405286343612335,11.013215859030836,3.9647577092511015,1.762114537444934,3.524229074889868,3.0837004405286343,1.762114537444934,1.3215859030837005,3.524229074889868,1.3215859030837005,100.0
