iteration,phase,config_source,description,parent_iteration,loss_type,loss_gamma,loss_alpha,use_class_weights,architecture,backbone,dropout_rate,head_type,head_hidden_features,head_dropout,batch_size,learning_rate,num_epochs,freeze_backbone,weight_decay,scheduler_type,scheduler_patience,scheduler_factor,scheduler_mode,early_stopping_enabled,early_stopping_patience,early_stopping_monitor,early_stopping_min_delta,rare_class_aug_enabled,threshold_optimization,auc_improvement_enabled,auc_improvement_strategy,hernia_oversample_enabled,hernia_oversample_factor,config_file,description
0,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,-,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
0,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,-,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
0,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,-,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
0,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0010,20,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,-,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
6,-,standalone,Hybrid config - combines best from iter 2 (high AUC) and iter 4 (high Recall),-,FocalLoss,2.50,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.4000,-,-,-,64,0.0005,50,-,0.0100,ReduceLROnPlateau,7,0.5000,min,Yes,15,-,0.0050,Yes,per_class_f1_score,-,-,-,-,config_iteration_006_recommended.yaml,Hybrid config - combines best from iter 2 (high AUC) and iter 4 (high Recall)
9,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,-,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0001,30,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
10,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,0.2500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,0.0010,40,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
10,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,2.00,0.2500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.5000,-,-,-,64,0.0010,40,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
12,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
12,-,iteration_dir,Baseline configuration from v1.1 implementation,-,FocalLoss,3.00,0.7500,Yes,ModifiedDenseNetWithDropOut,densenet121,0.3000,-,-,-,64,0.0005,50,-,0.00e+00,ReduceLROnPlateau,5,0.5000,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-,-,-,-,config.yaml,Baseline configuration from v1.1 implementation
