iteration,phase,parent_iteration,loss_type,loss_gamma,loss_alpha,use_class_weights,dropout_rate,head_hidden_features,learning_rate,num_epochs,freeze_backbone,weight_decay,scheduler_patience,scheduler_mode,early_stopping_enabled,early_stopping_patience,early_stopping_monitor,early_stopping_min_delta,rare_class_aug_enabled,threshold_optimization,auc_improvement_enabled
0,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,-,-
0,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,-,-
0,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,-,-
0,-,-,FocalLoss,2.00,-,Yes,0.3000,-,0.0010,20,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,-,-
6,-,-,FocalLoss,2.50,-,Yes,0.4000,-,0.0005,50,-,0.0100,7,min,Yes,15,-,0.0050,Yes,per_class_f1_score,-
9,-,-,FocalLoss,3.00,-,Yes,0.3000,-,0.0001,30,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,f1_score,-
10,-,-,FocalLoss,2.00,0.2500,Yes,0.5000,-,0.0010,40,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
10,-,-,FocalLoss,2.00,0.2500,Yes,0.5000,-,0.0010,40,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
12,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
12,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
12,-,-,FocalLoss,3.00,0.7500,Yes,0.3000,-,0.0005,50,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
13,-,-,FocalLoss,4.00,0.5000,Yes,0.2000,-,0.0001,60,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
14,-,-,FocalLoss,5.00,0.7500,Yes,0.1000,-,5.00e-05,70,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
14,-,-,FocalLoss,5.00,0.7500,Yes,0.1000,-,5.00e-05,70,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
16,-,-,FocalLoss,2.00,0.6000,Yes,0.2000,-,5.00e-05,90,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
17,-,-,FocalLoss,3.00,0.7000,Yes,0.3000,-,1.00e-05,100,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
17,-,-,FocalLoss,3.00,0.7000,Yes,0.3000,-,1.00e-05,100,-,0.00e+00,5,min,Yes,5,-,0.0100,Yes,per_class_f1_score,-
