Disease,AUC,Threshold,F1 Score,Precision,Recall
Infiltration,0.7034,0.20,0.4053,0.3424,0.4966
Effusion,0.8759,0.25,0.5236,0.4548,0.6170
Atelectasis,0.8037,0.15,0.3735,0.2778,0.5694
Nodule,0.7510,0.15,0.2792,0.2519,0.3131
Mass,0.8600,0.15,0.4005,0.3245,0.5230
Pneumothorax,0.8849,0.15,0.4224,0.3651,0.5010
Consolidation,0.8041,0.10,0.2299,0.1519,0.4729
Pleural_Thickening,0.7828,0.10,0.2120,0.1566,0.3282
Cardiomegaly,0.9114,0.15,0.3574,0.3207,0.4037
Emphysema,0.9102,0.15,0.4336,0.4099,0.4603
Edema,0.8926,0.10,0.2493,0.1682,0.4812
Fibrosis,0.7953,0.05,0.1303,0.0818,0.3196
Pneumonia,0.7442,0.05,0.0843,0.0551,0.1792
Hernia,0.7656,0.50,0.0000,0.0000,0.0000
Mean (Macro),0.8204,-,0.2930,0.2401,0.4047
