Disease,Baseline_AUC,Improved_AUC,Absolute_Diff,Pct_Change
Infiltration,0.7028,0.7034,+0.0006,+0.09%
Effusion,0.8756,0.8759,+0.0003,+0.04%
Atelectasis,0.8040,0.8043,+0.0003,+0.03%
Nodule,0.7511,0.7512,+0.0001,+0.02%
Mass,0.8599,0.8601,+0.0002,+0.02%
Pneumothorax,0.8847,0.8849,+0.0003,+0.03%
Consolidation,0.8038,0.8039,+0.0001,+0.02%
Pleural_Thickening,0.7838,0.7842,+0.0005,+0.06%
Cardiomegaly,0.9119,0.9120,+0.0001,+0.01%
Emphysema,0.9104,0.9097,-0.0007,-0.07%
Edema,0.8901,0.8911,+0.0010,+0.11%
Fibrosis,0.7948,0.7956,+0.0008,+0.10%
Pneumonia,0.7453,0.7433,-0.0020,-0.27%
Hernia,0.7528,0.7619,+0.0091,+1.21%
Mean (Macro),0.8194,0.8201,+0.0008,+0.09%
