Disease,Image_Count,Imbalance_Ratio,Percentage_of_Max
Hernia,227,87.63876651982379,1.1410475520257364
Pneumonia,1431,13.902166317260656,7.193123554840655
Fibrosis,1686,11.79952550415184,8.474917060420227
Edema,2303,8.638297872340425,11.576354679802956
Emphysema,2516,7.906995230524642,12.647029255051775
Cardiomegaly,2776,7.166426512968299,13.953955966623102
Pleural_Thickening,3385,5.877104874446085,17.01518045641902
Consolidation,4667,4.262695521748446,23.459334472705336
Pneumothorax,5302,3.7521689928328934,26.65125163365839
Mass,5782,3.440677966101695,29.064039408866993
Nodule,6331,3.1423155899541935,31.82366542676184
Atelectasis,11559,1.7210831386798167,58.10294561174223
Effusion,13317,1.4938800030036794,66.93978083844375
Infiltration,19894,1.0,100.0
