,Atelectasis,Cardiomegaly,Consolidation,Edema,Effusion,Emphysema,Fibrosis,Hernia,Infiltration,Mass,Nodule,Pleural_Thickening,Pneumonia,Pneumothorax
Atelectasis,100.0,3.200968941949996,10.580500043256338,1.9119300977593217,28.332900769962798,3.6681373821264818,1.903278830348646,0.34605069642702657,28.237736828445364,6.393286616489316,5.104247772298642,4.291028635695129,2.266632061597024,6.696080975862964
Cardiomegaly,13.328530259365994,100.0,6.087896253602305,4.57492795389049,38.29250720461095,1.585014409221902,1.8731988472622478,0.2521613832853026,21.145533141210375,3.674351585014409,3.890489913544669,3.9985590778097984,1.4769452449567724,1.7651296829971181
Consolidation,26.205271052067708,3.6211699164345403,100.0,3.4711806299550036,27.57660167130919,2.2069852153417613,1.6927362331262055,0.08570816370259267,26.162416970216412,13.070494964645382,9.170773516177416,5.37818727233769,2.635526033854725,4.778230126419541
Edema,9.596178897090752,5.5145462440295265,7.034303082935302,100.0,25.749023013460704,1.3026487190620928,0.39079461571862784,0.13026487190620928,42.59661311333044,5.601389491967,5.688232739904472,2.7789839339991316,14.763352149370387,1.4329135909683022
Effusion,24.592625966809344,7.982278290906359,9.664338815048435,4.452954869715401,100.0,2.695802357888413,1.4117293684763836,0.15769317413831943,30.036795073965607,9.416535255688219,6.848389276864158,6.375309754449201,2.019974468724187,7.479161973417437
Emphysema,16.85214626391097,1.7488076311605723,4.093799682034977,1.192368839427663,14.268680445151032,100.0,1.4308426073131957,0.1589825119236884,17.845786963434023,8.54531001589825,4.5707472178060415,6.001589825119237,0.9141494435612083,29.689984101748806
Fibrosis,13.048635824436536,3.084223013048636,4.68564650059312,0.5338078291814947,11.150652431791222,2.135231316725979,100.0,0.4744958481613286,20.462633451957295,6.93950177935943,9.845788849347569,10.438908659549229,0.6524317912218268,4.744958481613286
Hernia,17.62114537444934,3.0837004405286343,1.762114537444934,1.3215859030837005,9.251101321585903,1.762114537444934,3.524229074889868,100.0,14.537444933920703,11.013215859030836,4.405286343612335,3.524229074889868,1.3215859030837005,3.9647577092511015
Infiltration,16.40695687141852,2.9506383834321905,6.13752890318689,4.931135015582588,20.106564793405045,2.2569618980597164,1.7341912134311854,0.16587915954559163,100.0,5.825877148889112,7.771187292651051,3.769980898763446,3.041117925002513,4.755202573640293
Mass,12.781044621238328,1.7640954686959531,10.549982704946386,2.2310619162919405,21.687997232791425,3.718436527153234,2.023521272915946,0.4323763403666551,20.044967139398132,100.0,15.669318574887583,7.8173642338291245,1.2279488066413005,7.454168107921134
Nodule,9.319222871584268,1.7058916442900016,6.760385405149265,2.069183383351761,14.4053072184489,1.816458695308798,2.622018638445743,0.157952930026852,24.419522982151317,14.31053546043279,100.0,6.491865424103617,1.105670510187964,5.386194913915653
Pleural_Thickening,14.652880354505172,3.2791728212703104,7.41506646971935,1.8906942392909896,25.08124076809454,4.460856720827179,5.199409158050221,0.2363367799113737,22.156573116691288,13.353028064992614,12.141802067946825,100.0,1.4180206794682424,8.537666174298375
Pneumonia,18.3088749126485,2.86512928022362,8.59538784067086,23.75960866526904,18.798043326345212,1.6072676450034942,0.7686932215234101,0.20964360587002098,42.27812718378756,4.96156533892383,4.8916841369671555,3.3542976939203357,100.0,2.86512928022362
Pneumothorax,14.598264805733685,0.9241795548849491,4.205960015088646,0.6224066390041494,18.78536401357978,14.089023010184837,1.5088645794039985,0.16974726518294983,17.842323651452283,8.129007921539042,6.431535269709543,5.450773293096944,0.7732930969445493,100.0
