Disease,Image_Count,Patient_Count,Image_Percentage,Patient_Percentage
Infiltration,19894,8035,17.743489118801286,26.083428014932643
Effusion,13317,4275,11.877452729218694,13.877617269923714
Atelectasis,11559,4981,10.309489832322512,16.169453010874857
Nodule,6331,3394,5.646628612201213,11.01769193312774
Mass,5782,2568,5.1569746699964325,8.336309040740138
Pneumothorax,5302,1487,4.728861933642526,4.8271384515500735
Consolidation,4667,2150,4.16250445950767,6.979386463236488
Pleural_Thickening,3385,2006,3.0190866928291116,6.511929881512741
Cardiomegaly,2776,1566,2.4759186585800927,5.083590326245739
Emphysema,2516,1046,2.244024259721727,3.3955526700211007
Edema,2303,1073,2.054049232964681,3.483200779094303
Fibrosis,1686,1260,1.5037459864430966,4.090245090082779
Pneumonia,1431,1008,1.2763110952550838,3.2721960720662233
Hernia,227,134,0.20246164823403495,0.43499431910404157
