Disease,Image_Count,Patient_Count,Image_Percentage,Patient_Percentage,Is_Rare,Avg_Labels_When_Present,Top_Cooccurrence
Hernia,227,134,0.20246164823403495,0.43499431910404157,True,1.7709251101321586,"Atelectasis: 40, Infiltration: 33, Mass: 25"
Pneumonia,1431,1008,1.2763110952550838,3.2721960720662233,False,2.3326345213137665,"Infiltration: 605, Edema: 340, Effusion: 269"
Fibrosis,1686,1260,1.5037459864430966,4.090245090082779,False,1.8819691577698696,"Infiltration: 345, Atelectasis: 220, Effusion: 188"
Edema,2303,1073,2.054049232964681,3.483200779094303,False,2.2257924446374293,"Infiltration: 981, Effusion: 593, Pneumonia: 340"
Emphysema,2516,1046,2.244024259721727,3.3955526700211007,False,2.0731319554848966,"Pneumothorax: 747, Infiltration: 449, Atelectasis: 424"
Cardiomegaly,2776,1566,2.4759186585800927,5.083590326245739,False,2.0194524495677233,"Effusion: 1063, Infiltration: 587, Atelectasis: 370"
Pleural_Thickening,3385,2006,3.0190866928291116,6.511929881512741,False,2.1982274741506647,"Effusion: 849, Infiltration: 750, Atelectasis: 496"
Consolidation,4667,2150,4.16250445950767,6.979386463236488,False,2.260552817655882,"Effusion: 1287, Atelectasis: 1223, Infiltration: 1221"
Pneumothorax,5302,1487,4.728861933642526,4.8271384515500735,False,1.9353074311580536,"Effusion: 996, Infiltration: 946, Atelectasis: 774"
Mass,5782,2568,5.1569746699964325,8.336309040740138,False,2.0740228294707714,"Effusion: 1254, Infiltration: 1159, Nodule: 906"
Nodule,6331,3394,5.646628612201213,11.01769193312774,False,1.9057021007739694,"Infiltration: 1546, Effusion: 912, Mass: 906"
Atelectasis,11559,4981,10.309489832322512,16.169453010874857,False,2.0293277965221903,"Effusion: 3275, Infiltration: 3264, Consolidation: 1223"
Effusion,13317,4275,11.877452729218694,13.877617269923714,False,2.1313358864609144,"Infiltration: 4000, Atelectasis: 3275, Consolidation: 1287"
Infiltration,19894,8035,17.743489118801286,26.083428014932643,False,1.7985322207700813,"Effusion: 4000, Atelectasis: 3264, Nodule: 1546"
