Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score
Cardiomegaly,0.919101,0.9129900021427276,-0.006110997857272316,No,0.489469,0.25,-0.239469,No,0.820225,0.9383250089190154,0.1181000089190154,Yes,0.819083,0.9473924768042415,0.12830947680424154,Yes,0.863322,0.5743119266055046,-0.28901007339449547,No,0.112312,0.2137978142076502,0.10148581420765021,Yes,0.865,0.5743119266055046,-0.2906880733944954,No,0.198765,0.3115978098556495,0.1128328098556495,Yes
Emphysema,0.916227,0.9082049805932104,-0.008022019406789593,No,0.445399,0.25,-0.195399,No,0.82103,0.9521940777738138,0.13116407777381378,Yes,0.819995,0.9599452554744524,0.1399502554744524,Yes,0.864245,0.6150793650793651,-0.24916563492063493,No,0.103055,0.2609427609427609,0.1578877609427609,Yes,0.866,0.6150793650793651,-0.2509206349206349,No,0.184152,0.3664302600472813,0.1822782600472813,Yes
Effusion,0.888239,0.8755520847666797,-0.012686915233320328,No,0.484694,0.35,-0.13469400000000004,No,0.799491,0.840795576168391,0.041304576168391005,Yes,0.794271,0.8571645109135004,0.06289351091350048,Yes,0.838296,0.7177051671732523,-0.12059083282674776,No,0.354027,0.400551314673452,0.04652431467345203,Yes,0.839,0.7177051671732523,-0.12129483282674769,No,0.497818,0.5141535111594991,0.01633551115949916,Yes
Hernia,0.82202,0.7668402032038396,-0.05517979679616036,No,0.581222,0.15,-0.431222,No,0.802127,0.9905012486621476,0.18837424866214758,Yes,0.802346,0.9922269376814832,0.18988093768148318,Yes,0.695652,0.0,-0.695652,No,0.00719748,0.0,-0.00719748,No,0.717,0.0,-0.717,No,0.0142476,0.0,-0.0142476,No
Infiltration,0.715871,0.7011301883119847,-0.014740811688015332,No,0.476786,0.45,-0.026785999999999976,No,0.648673,0.810114163396361,0.16144116339636094,Yes,0.645026,0.9317824412992788,0.2867564412992788,Yes,0.665575,0.2467988953050464,-0.41877610469495363,No,0.288003,0.4386434627398483,0.15064046273984827,Yes,0.666,0.2467988953050464,-0.41920110469495364,No,0.402838,0.3158740359897172,-0.08696396401028278,No
Mass,0.869582,0.8574993288233589,-0.01208267117664108,No,0.585565,0.35,-0.23556500000000002,No,0.821655,0.9269532643596148,0.10529826435961476,Yes,0.825244,0.9497041420118344,0.12446014201183442,Yes,0.757089,0.4982300884955752,-0.2588589115044248,No,0.193864,0.3445532435740514,0.15068924357405142,Yes,0.758,0.4982300884955752,-0.2597699115044248,No,0.308678,0.4073806078147612,0.0987026078147612,Yes
Nodule,0.792307,0.7465302443080186,-0.04577675569198136,No,0.485297,0.35,-0.135297,No,0.735723,0.9158490902604352,0.18012609026043513,Yes,0.737614,0.9537247116657211,0.21611071166572116,Yes,0.703614,0.2839116719242902,-0.4197023280757098,No,0.136427,0.268857356235997,0.132430356235997,Yes,0.7,0.2839116719242902,-0.4160883280757098,No,0.228502,0.2761795166858458,0.04767751668584577,Yes
Atelectasis,0.818337,0.8015071463646601,-0.016829853635339842,No,0.458412,0.35,-0.10841200000000001,No,0.694521,0.847841598287549,0.15332059828754896,Yes,0.682717,0.8919508326724822,0.2092338326724822,Yes,0.799911,0.4519572953736654,-0.3479537046263346,No,0.2282,0.3178973717146433,0.08969737171464329,Yes,0.8,0.4519572953736654,-0.34804270462633463,No,0.345336,0.3732549595885378,0.02791895958853785,Yes
Pneumothorax,0.886252,0.8852832477648619,-0.0009687522351381483,No,0.465026,0.25,-0.215026,No,0.789749,0.8379860863360685,0.04823708633606849,Yes,0.787684,0.8411533788204505,0.05346937882045044,Yes,0.830119,0.7719298245614035,-0.058189175438596585,No,0.166667,0.1889763779527559,0.022309377952755893,Yes,0.831,0.7719298245614035,-0.059070175438596495,No,0.277599,0.3036227717078781,0.02602377170787812,Yes
Pleural_Thickening,0.812256,0.7842160870963296,-0.02803991290367036,No,0.441709,0.25,-0.19170900000000002,No,0.663107,0.8844541562611488,0.22134715626114876,Yes,0.657618,0.8971932564656162,0.23957525646561617,Yes,0.828691,0.4610687022900763,-0.36762229770992366,No,0.0742729,0.1188976377952756,0.04462473779527559,Yes,0.83,0.4610687022900763,-0.36893129770992367,No,0.136327,0.1890453834115806,0.05271838341158058,Yes
Pneumonia,0.765119,0.7473742322993838,-0.01774476770061617,No,0.51558,0.25,-0.26558000000000004,No,0.6968,0.9598198358901178,0.2630198358901178,Yes,0.696425,0.9714246959352534,0.2749996959352534,Yes,0.726619,0.1237785016286645,-0.6028404983713356,No,0.0292288,0.0567164179104477,0.027487617910447702,Yes,0.73,0.1237785016286645,-0.6062214983713354,No,0.056197,0.0777891504605936,0.02159215046059361,Yes
Fibrosis,0.826327,0.7955344505568751,-0.030792549443124928,No,0.585557,0.25,-0.335557,No,0.723782,0.9487156617909382,0.2249336617909382,Yes,0.722608,0.9582956395874797,0.23568763958747962,Yes,0.795252,0.2784810126582278,-0.5167709873417722,No,0.0419931,0.0871287128712871,0.0451356128712871,Yes,0.798,0.2784810126582278,-0.5195189873417723,No,0.0797738,0.1327300150829562,0.0529562150829562,Yes
Edema,0.908537,0.8919426714281375,-0.016594328571862493,No,0.413506,0.25,-0.16350599999999998,No,0.750156,0.9127720299678916,0.1626160299678916,Yes,0.746759,0.9186274063623538,0.1718684063623539,Yes,0.908511,0.6274944567627494,-0.28101654323725056,No,0.0714644,0.1366489618541767,0.06518456185417669,Yes,0.911,0.6274944567627494,-0.28350554323725063,No,0.132596,0.2244250594766058,0.0918290594766058,Yes
Consolidation,0.812462,0.8020863805900164,-0.01037561940998366,No,0.546624,0.25,-0.296624,No,0.724462,0.7846057795219408,0.06014377952194072,Yes,0.722326,0.7898796524325078,0.06755365243250777,Yes,0.772632,0.6589147286821705,-0.1137172713178295,No,0.109814,0.1162790697674418,0.006465069767441808,Yes,0.774,0.6589147286821705,-0.11508527131782953,No,0.192298,0.1976744186046511,0.005376418604651101,Yes
