class,auc_iter12,auc_head_mlp_v1,auc_delta
Cardiomegaly,0.91121053198765,0.9129900021427275,0.0017794701550775116
Emphysema,0.90798973178079,0.9082049805932104,0.00021524881242040994
Effusion,0.8693888131092234,0.8755520847666797,0.006163271657456226
Hernia,0.5319249955613592,0.7668402032038396,0.23491520764248042
Infiltration,0.7031497388111829,0.7011301883119847,-0.0020195504991982194
Mass,0.8536908065839313,0.8574993288233589,0.0038085222394276252
Nodule,0.7433058866297709,0.7465302443080186,0.0032243576782476913
Atelectasis,0.7997398030781083,0.8015071463646601,0.0017673432865518146
Pneumothorax,0.8812473729577395,0.8852832477648619,0.004035874807122419
Pleural_Thickening,0.7807245333461443,0.7842160870963296,0.0034915537501852834
Pneumonia,0.7400245864494113,0.7473742322993838,0.0073496458499725525
Fibrosis,0.7975545251962174,0.7955344505568751,-0.002020074639342284
Edema,0.895061294233005,0.8919426714281375,-0.0031186228048674103
Consolidation,0.7973013096018964,0.8020863805900164,0.004785070988119977
MACRO_AVERAGE,0.8009,0.8197636605892917,0.018863660589291786
