class,auc_iter12,auc_head_mlp,auc_delta,precision_iter12_cal,precision_head_mlp_cal,precision_delta,recall_iter12_cal,recall_head_mlp_cal,recall_delta,f1_iter12_cal,f1_head_mlp_cal,f1_delta
Cardiomegaly,0.91121053198765,0.9129900021427275,0.0017794701550775116,0.0,0.31516936671575846,0.31516936671575846,0.0,0.3926605504587156,0.3926605504587156,0.0,0.34967320261437906,0.34967320261437906
Emphysema,0.90798973178079,0.9082049805932104,0.00021524881242040994,0.75,0.41889483065953653,-0.33110516934046347,0.0178571428571428,0.4662698412698413,0.4484126984126985,0.0348837209302325,0.4413145539906103,0.4064308330603778
Effusion,0.8693888131092234,0.8755520847666797,0.006163271657456226,0.0,0.4468487963213416,0.4468487963213416,0.0,0.6276595744680851,0.6276595744680851,0.0,0.5220413967451414,0.5220413967451414
Hernia,0.5319249955613592,0.7668402032038396,0.23491520764248042,0.0017392079914377,0.010057471264367816,0.008318263272930115,1.0,0.1794871794871795,-0.8205128205128205,0.0034723767974001,0.01904761904761905,0.01557524225021895
Infiltration,0.7031497388111829,0.7011301883119847,-0.0020195504991982194,0.0,0.32488162517183444,0.32488162517183444,0.0,0.5340195832287221,0.5340195832287221,0.0,0.403988603988604,0.403988603988604
Mass,0.8536908065839313,0.8574993288233589,0.0038085222394276252,1.0,0.31106578276389596,-0.688934217236104,0.0008849557522123,0.5398230088495575,0.5389380530973452,0.0017683465959328,0.39469427369783244,0.39292592710189966
Nodule,0.7433058866297709,0.7465302443080186,0.0032243576782476913,0.0,0.23564789502460362,0.23564789502460362,0.0,0.33990536277602523,0.33990536277602523,0.0,0.2783338714885373,0.2783338714885373
Atelectasis,0.7997398030781083,0.8015071463646601,0.0017673432865518146,0.0,0.29123400144892536,0.29123400144892536,0.0,0.5364768683274022,0.5364768683274022,0.0,0.3775238691501017,0.3775238691501017
Pneumothorax,0.8812473729577395,0.8852832477648619,0.004035874807122419,0.0,0.34664948453608246,0.34664948453608246,0.0,0.5243664717348928,0.5243664717348928,0.0,0.417377812257564,0.417377812257564
Pleural_Thickening,0.7807245333461443,0.7842160870963296,0.0034915537501852834,0.0,0.1478648820905035,0.1478648820905035,0.0,0.35419847328244275,0.35419847328244275,0.0,0.20863309352517986,0.20863309352517986
Pneumonia,0.7400245864494113,0.7473742322993838,0.0073496458499725525,0.0,0.06403940886699508,0.06403940886699508,0.0,0.04234527687296417,0.04234527687296417,0.0,0.050980392156862744,0.050980392156862744
Fibrosis,0.7975545251962174,0.7955344505568751,-0.002020074639342284,0.0,0.09194097616345062,0.09194097616345062,0.0,0.2563291139240506,0.2563291139240506,0.0,0.13533834586466165,0.13533834586466165
Edema,0.895061294233005,0.8919426714281375,-0.0031186228048674103,0.0,0.20113636363636364,0.20113636363636364,0.0,0.3924611973392461,0.3924611973392461,0.0,0.2659654395191585,0.2659654395191585
Consolidation,0.7973013096018964,0.8020863805900164,0.004785070988119977,0.0,0.13647058823529412,0.13647058823529412,0.0,0.5138427464008859,0.5138427464008859,0.0,0.2156634905879619,0.2156634905879619
MACRO_AVERAGE,0.8008795663804592,0.8197636605892917,0.018884094208832525,0.12512422914224555,0.23870724806421098,0.11358301892196543,0.07276729275781109,0.40713180345857225,0.3343645107007612,0.0028660317373975287,0.2914697117595867,0.28860368002218917
RARE_CLASSES_AVERAGE,0.7411413503599982,0.8004228893720591,0.0592815390120609,0.000434801997859425,0.09179355498279429,0.09135875298493487,0.25,0.2176556919058601,-0.032344308094139906,0.000868094199350025,0.11783294914707548,0.11696485494772546
