Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.9129900021427275,0.25,0.9383250089190154,0.9473924768042415,0.5743119266055046,0.21379781420765026,0.5743119266055046,0.31159780985564955
Emphysema,0.9082049805932104,0.25,0.9521940777738138,0.9599452554744525,0.6150793650793651,0.2609427609427609,0.6150793650793651,0.3664302600472813
Effusion,0.8755520847666797,0.35,0.840795576168391,0.8571645109135004,0.7177051671732523,0.40055131467345206,0.7177051671732523,0.5141535111594991
Hernia,0.7668402032038396,0.15,0.9905012486621477,0.9922269376814832,0.0,0.0,0.0,0.0
Infiltration,0.7011301883119847,0.45,0.810114163396361,0.9317824412992788,0.24679889530504645,0.4386434627398483,0.24679889530504645,0.31587403598971725
Mass,0.8574993288233589,0.35,0.9269532643596147,0.9497041420118343,0.4982300884955752,0.3445532435740514,0.4982300884955752,0.4073806078147612
Nodule,0.7465302443080186,0.35,0.9158490902604353,0.9537247116657213,0.28391167192429023,0.268857356235997,0.28391167192429023,0.2761795166858458
Atelectasis,0.8015071463646601,0.35,0.847841598287549,0.8919508326724822,0.45195729537366547,0.31789737171464333,0.45195729537366547,0.3732549595885378
Pneumothorax,0.8852832477648619,0.25,0.8379860863360685,0.8411533788204505,0.7719298245614035,0.1889763779527559,0.7719298245614035,0.3036227717078781
Pleural_Thickening,0.7842160870963296,0.25,0.8844541562611488,0.8971932564656162,0.46106870229007635,0.1188976377952756,0.46106870229007635,0.1890453834115806
Pneumonia,0.7473742322993838,0.25,0.9598198358901178,0.9714246959352534,0.1237785016286645,0.056716417910447764,0.1237785016286645,0.07778915046059365
Fibrosis,0.7955344505568751,0.25,0.9487156617909382,0.9582956395874797,0.27848101265822783,0.08712871287128712,0.27848101265822783,0.13273001508295626
Edema,0.8919426714281375,0.25,0.9127720299678915,0.9186274063623538,0.6274944567627494,0.13664896185417671,0.6274944567627494,0.22442505947660588
Consolidation,0.8020863805900164,0.25,0.7846057795219408,0.7898796524325078,0.6589147286821705,0.11627906976744186,0.6589147286821705,0.19767441860465115
