Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score
Cardiomegaly,0.919101,0.9058010047756404,-0.01329999522435954,No,0.489469,0.5,0.010531000000000013,Yes,0.820225,0.9756956831965752,0.1554706831965752,Yes,0.819083,0.9998628822158234,0.18077988221582342,Yes,0.863322,0.0055045871559633,-0.8578174128440368,No,0.112312,0.5,0.38768800000000003,Yes,0.865,0.0055045871559633,-0.8594954128440367,No,0.198765,0.0108892921960072,-0.1878757078039928,No
Emphysema,0.916227,0.822517171025953,-0.093709828974047,No,0.445399,0.5,0.05460100000000001,Yes,0.82103,0.9776578665715304,0.15662786657153038,Yes,0.819995,1.0,0.18000499999999997,Yes,0.864245,0.0059523809523809,-0.8582926190476191,No,0.103055,1.0,0.896945,Yes,0.866,0.0059523809523809,-0.8600476190476191,No,0.184152,0.0118343195266272,-0.17231768047337281,No
Effusion,0.888239,0.8526842824186124,-0.03555471758138762,No,0.484694,0.5,0.015305999999999986,Yes,0.799491,0.882625758116304,0.083134758116304,Yes,0.794271,1.0,0.20572900000000005,Yes,0.838296,0.0,-0.838296,No,0.354027,0.0,-0.354027,No,0.839,0.0,-0.839,No,0.497818,0.0,-0.497818,No
Hernia,0.82202,0.7326683963047599,-0.08935160369524009,No,0.581222,0.5,-0.08122200000000002,No,0.802127,0.0017392079914377,-0.8003877920085624,No,0.802346,0.0,-0.802346,No,0.695652,1.0,0.30434799999999995,Yes,0.00719748,0.0017392079914377,-0.0054582720085623,No,0.717,1.0,0.28300000000000003,Yes,0.0142476,0.0034723767974001,-0.010775223202599899,No
Infiltration,0.715871,0.6886782586090663,-0.02719274139093375,No,0.476786,0.5,0.023214000000000012,Yes,0.648673,0.8223778094898323,0.17370480948983225,Yes,0.645026,1.0,0.354974,Yes,0.665575,0.0,-0.665575,No,0.288003,0.0,-0.288003,No,0.666,0.0,-0.666,No,0.402838,0.0,-0.402838,No
Mass,0.869582,0.7998115510538928,-0.06977044894610718,No,0.585565,0.5,-0.085565,No,0.821655,0.949607563325009,0.12795256332500893,Yes,0.825244,1.0,0.17475600000000002,Yes,0.757089,0.0,-0.757089,No,0.193864,0.0,-0.193864,No,0.758,0.0,-0.758,No,0.308678,0.0,-0.308678,No
Nodule,0.792307,0.6852355388512436,-0.10707146114875643,No,0.485297,0.5,0.014703000000000022,Yes,0.735723,0.9434534427399216,0.20773044273992158,Yes,0.737614,1.0,0.262386,Yes,0.703614,0.0,-0.703614,No,0.136427,0.0,-0.136427,No,0.7,0.0,-0.7,No,0.228502,0.0,-0.228502,No
Atelectasis,0.818337,0.7301034481967934,-0.08823355180320658,No,0.458412,0.5,0.041588000000000014,Yes,0.694521,0.8997502675704602,0.20522926757046012,Yes,0.682717,1.0,0.317283,Yes,0.799911,0.0,-0.799911,No,0.2282,0.0,-0.2282,No,0.8,0.0,-0.8,No,0.345336,0.0,-0.345336,No
Pneumothorax,0.886252,0.8323991448072154,-0.0538528551927846,No,0.465026,0.5,0.034974000000000005,Yes,0.789749,0.9542454513021762,0.16449645130217616,Yes,0.787684,1.0,0.21231599999999995,Yes,0.830119,0.0,-0.830119,No,0.166667,0.0,-0.166667,No,0.831,0.0,-0.831,No,0.277599,0.0,-0.277599,No
Pleural_Thickening,0.812256,0.7518275340064431,-0.06042846599355689,No,0.441709,0.5,0.05829099999999998,Yes,0.663107,0.9707902247591866,0.30768322475918664,Yes,0.657618,1.0,0.34238199999999996,Yes,0.828691,0.0,-0.828691,No,0.0742729,0.0,-0.0742729,No,0.83,0.0,-0.83,No,0.136327,0.0,-0.136327,No
Pneumonia,0.765119,0.721599845300069,-0.04351915469993095,No,0.51558,0.5,-0.015580000000000038,No,0.6968,0.9863093114520156,0.28950931145201564,Yes,0.696425,1.0,0.30357500000000004,Yes,0.726619,0.0,-0.726619,No,0.0292288,0.0,-0.0292288,No,0.73,0.0,-0.73,No,0.056197,0.0,-0.056197,No
Fibrosis,0.826327,0.7408536602822049,-0.08547333971779514,No,0.585557,0.5,-0.085557,No,0.723782,0.985907955761684,0.26212595576168396,Yes,0.722608,1.0,0.27739199999999997,Yes,0.795252,0.0,-0.795252,No,0.0419931,0.0,-0.0419931,No,0.798,0.0,-0.798,No,0.0797738,0.0,-0.0797738,No
Edema,0.908537,0.8771523971719777,-0.03138460282802236,No,0.413506,0.5,0.08649400000000002,Yes,0.750156,0.9798876204067072,0.22973162040670714,Yes,0.746759,1.0,0.25324100000000005,Yes,0.908511,0.0,-0.908511,No,0.0714644,0.0,-0.0714644,No,0.911,0.0,-0.911,No,0.132596,0.0,-0.132596,No
Consolidation,0.812462,0.7826287574170389,-0.02983324258296116,No,0.546624,0.5,-0.046624,No,0.724462,0.9597306457367106,0.23526864573671058,Yes,0.722326,1.0,0.277674,Yes,0.772632,0.0,-0.772632,No,0.109814,0.0,-0.109814,No,0.774,0.0,-0.774,No,0.192298,0.0,-0.192298,No
