Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall
Cardiomegaly,0.919101,0.8722224109164205,-0.04687858908357945,No,0.198765,0.0,-0.198765,No,0.863322,0.0,-0.863322,No
Emphysema,0.916227,0.7767315400156413,-0.13949545998435875,No,0.184152,0.0,-0.184152,No,0.864245,0.0,-0.864245,No
Effusion,0.888239,0.8256677769471192,-0.06257122305288076,No,0.497818,0.0,-0.497818,No,0.838296,0.0,-0.838296,No
Hernia,0.82202,0.7005343550798097,-0.12148564492019032,No,0.0142476,0.0034723767974001,-0.010775223202599899,No,0.695652,1.0,0.30434799999999995,Yes
Infiltration,0.715871,0.6775250061936268,-0.03834599380637327,No,0.402838,0.0,-0.402838,No,0.665575,0.0,-0.665575,No
Mass,0.869582,0.7332685845279446,-0.13631341547205533,No,0.308678,0.0,-0.308678,No,0.757089,0.0,-0.757089,No
Nodule,0.792307,0.6362281986063569,-0.15607880139364305,No,0.228502,0.0,-0.228502,No,0.703614,0.0,-0.703614,No
Atelectasis,0.818337,0.7351935419377098,-0.08314345806229018,No,0.345336,0.0,-0.345336,No,0.799911,0.0,-0.799911,No
Pneumothorax,0.886252,0.8111798856426982,-0.07507211435730188,No,0.277599,0.0,-0.277599,No,0.830119,0.0,-0.830119,No
Pleural_Thickening,0.812256,0.7241861194169593,-0.08806988058304066,No,0.136327,0.0,-0.136327,No,0.828691,0.0,-0.828691,No
Pneumonia,0.765119,0.7101413139096358,-0.05497768609036424,No,0.056197,0.0,-0.056197,No,0.726619,0.0,-0.726619,No
Fibrosis,0.826327,0.7197044629013383,-0.10662253709866176,No,0.0797738,0.0,-0.0797738,No,0.795252,0.0,-0.795252,No
Edema,0.908537,0.864550053013056,-0.04398694698694405,No,0.132596,0.0,-0.132596,No,0.908511,0.0,-0.908511,No
Consolidation,0.812462,0.7590782456014145,-0.05338375439858556,No,0.192298,0.0,-0.192298,No,0.772632,0.0,-0.772632,No
