Label,Baseline_AUC,Our_AUC,AUC_Improvement,Better_AUC,Baseline_F1_Score,Our_F1_Score,F1_Score_Improvement,Better_F1_Score,Baseline_Recall,Our_Recall,Recall_Improvement,Better_Recall,Baseline_Accuracy,Our_Accuracy,Accuracy_Improvement,Better_Accuracy,Baseline_Specificity,Our_Specificity,Specificity_Improvement,Better_Specificity,Baseline_Precision,Our_Precision,Precision_Improvement,Better_Precision,Baseline_Sensitivity,Our_Sensitivity,Sensitivity_Improvement,Better_Sensitivity,Baseline_Threshold,Our_Threshold,Threshold_Improvement,Better_Threshold
Cardiomegaly,0.919101,0.7727834197343102,-0.14631758026568975,No,0.198765,0.1793214862681744,-0.019443513731825596,No,0.863322,0.2036697247706422,-0.6596522752293579,No,0.820225,0.9546914020692115,0.13446640206921157,Yes,0.819083,0.973399149869738,0.15431614986973796,Yes,0.112312,0.1601731601731601,0.04786116017316011,Yes,0.865,0.2036697247706422,-0.6613302752293577,No,0.489469,0.15,-0.339469,No
Emphysema,0.916227,0.7117332779370873,-0.20449372206291272,No,0.184152,0.1277955271565495,-0.05635647284345052,No,0.864245,0.238095238095238,-0.626149761904762,No,0.82103,0.9269532643596148,0.10592326435961474,Yes,0.819995,0.9427919708029197,0.12279697080291962,Yes,0.103055,0.0873362445414847,-0.015718755458515296,No,0.866,0.238095238095238,-0.627904761904762,No,0.445399,0.1,-0.345399,No
Effusion,0.888239,0.7750898477908853,-0.1131491522091147,No,0.497818,0.3764974329720479,-0.12132056702795208,No,0.838296,0.6268996960486323,-0.21139630395136777,No,0.799491,0.756287905815198,-0.04320309418480195,No,0.794271,0.7734943411479386,-0.02077665885206137,No,0.354027,0.2690363606717756,-0.08499063932822437,No,0.839,0.6268996960486323,-0.2121003039513677,No,0.484694,0.1,-0.384694,No
Hernia,0.82202,0.7082180718544354,-0.11380192814556456,No,0.0142476,0.0035972881981275,-0.0106503118018725,No,0.695652,1.0,0.30434799999999995,Yes,0.802127,0.0365233678201926,-0.7656036321798074,No,0.802346,0.0348447621174893,-0.7675012378825107,No,0.00719748,0.0018018850489743,-0.0053955949510257,No,0.717,1.0,0.28300000000000003,Yes,0.581222,0.95,0.36877799999999994,Yes
Infiltration,0.715871,0.6562300056678986,-0.05964099433210146,No,0.402838,0.3706713454612614,-0.03216665453873857,No,0.665575,0.5038915390409239,-0.16168346095907615,No,0.648673,0.6960845522654299,0.04741155226542981,Yes,0.645026,0.7375955750772735,0.09256957507727348,Yes,0.288003,0.2931638913234005,0.005160891323400474,Yes,0.666,0.5038915390409239,-0.16210846095907616,No,0.476786,0.1,-0.37678599999999995,No
Mass,0.869582,0.636368880344374,-0.23321311965562597,No,0.308678,0.1377772823542526,-0.1709007176457474,No,0.757089,0.5469026548672566,-0.21018634513274337,No,0.821655,0.6550570816981806,-0.16659791830181947,No,0.825244,0.6607964684887762,-0.16444753151122382,No,0.193864,0.078816477490116,-0.11504752250988401,No,0.758,0.5469026548672566,-0.21109734513274336,No,0.585565,0.1,-0.485565,No
Nodule,0.792307,0.5831653607600561,-0.2091416392399439,No,0.228502,0.1061977415740022,-0.1223042584259978,No,0.703614,0.9716088328075708,0.26799483280757086,Yes,0.735723,0.0751872993221548,-0.6605357006778452,No,0.737614,0.0214596332009831,-0.7161543667990169,No,0.136427,0.0561685055165496,-0.08025849448345039,No,0.7,0.9716088328075708,0.27160883280757087,Yes,0.485297,0.05,-0.435297,No
Atelectasis,0.818337,0.7056918578255128,-0.11264514217448718,No,0.345336,0.2780109783661608,-0.06732502163383919,No,0.799911,0.3830071174377224,-0.4169038825622776,No,0.694521,0.8005708169818052,0.10604981698180516,Yes,0.682717,0.8470955590800952,0.16437855908009513,Yes,0.2282,0.2181956411556006,-0.010004358844399375,No,0.8,0.3830071174377224,-0.4169928825622776,No,0.458412,0.1,-0.35841199999999995,No
Pneumothorax,0.886252,0.7593311584566302,-0.1269208415433698,No,0.277599,0.2130974942093072,-0.06450150579069278,No,0.830119,0.49317738791423,-0.33694161208577006,No,0.789749,0.8333481983589012,0.04359919835890114,Yes,0.787684,0.8496588466211795,0.06197484662117947,Yes,0.166667,0.1359118990061778,-0.0307551009938222,No,0.831,0.49317738791423,-0.33782261208576997,No,0.465026,0.1,-0.36502599999999996,No
Pleural_Thickening,0.812256,0.6617826175537103,-0.15047338244628972,No,0.136327,0.1089365715633105,-0.0273904284366895,No,0.828691,0.3526717557251908,-0.47601924427480913,No,0.663107,0.8314752051373528,0.16836820513735284,Yes,0.657618,0.8458817584638706,0.18826375846387056,Yes,0.0742729,0.0644171779141104,-0.009855722085889598,No,0.83,0.3526717557251908,-0.47732824427480913,No,0.441709,0.1,-0.34170900000000004,No
