Label,AUC_File1,Threshold_File1,Accuracy_File1,Specificity_File1,Recall_File1,Precision_File1,Sensitivity_File1,F1-Score_File1,AUC_File2,Threshold_File2,Accuracy_File2,Specificity_File2,Recall_File2,Precision_File2,Sensitivity_File2,F1-Score_File2
Cardiomegaly,0.919101,0.489469,0.820225,0.819083,0.863322,0.112312,0.865,0.198765,0.8251241712655636,0.004551784,0.7634677131644666,0.7639288815759404,0.744954128440367,0.0728774008257045,0.744954128440367,0.1327665140614781
Emphysema,0.916227,0.445399,0.82103,0.819995,0.864245,0.103055,0.866,0.184152,0.8465540276329511,0.007947195,0.8666607206564395,0.8708485401459855,0.6845238095238095,0.1086272040302267,0.6845238095238095,0.1875
Effusion,0.888239,0.484694,0.799491,0.794271,0.838296,0.354027,0.839,0.497818,0.8120560881035105,0.0041204644,0.7410809846592936,0.7403496362166532,0.746580547112462,0.2766047297297297,0.746580547112462,0.4036565324568611
Hernia,0.82202,0.581222,0.802127,0.802346,0.695652,0.00719748,0.717,0.012476,0.851133142042233,0.00013587222,0.7978059222261862,0.797766361402725,0.8205128205128205,0.0070190831322658,0.8205128205128205,0.0139190952588081
Infiltration,0.715871,0.476786,0.648673,0.645026,0.665575,0.288003,0.666,0.402036,0.6419527923450709,0.0005994861,0.6059133071708883,0.6062577951304159,0.604318353000251,0.248965659908978,0.604318353000251,0.3526481576441286
Mass,0.869502,0.505565,0.821655,0.825244,0.757009,0.193864,0.758,0.300678,0.7813752222363524,0.00036530028,0.8110506600071352,0.8206067436836667,0.6309734513274337,0.157290977277741,0.6309734513274337,0.2518099947024545
Nodule,0.792307,0.485297,0.735723,0.737614,0.703614,0.136427,0.704,0.228582,0.6831168328648294,0.00027456618,0.7566892615055298,0.7718850444318397,0.5031545741324921,0.1167642752562225,0.5031545741324921,0.1895424836601307
Atelectasis,0.818337,0.458412,0.694521,0.682717,0.799911,0.2202,0.8,0.345336,0.7280415550451402,0.00017841991,0.6999197288619337,0.7053429817605076,0.6512455516014235,0.1975975165339452,0.6512455516014235,0.3031997514756135
Pneumothorax,0.886252,0.465026,0.789749,0.787684,0.830119,0.166667,0.831,0.277599,0.8213904826506349,6.398857e-05,0.8221102390296111,0.8289092438545659,0.6803118908382066,0.1601284698325304,0.6803118908382066,0.2592386258124419
Pleural_Thickening,0.812256,0.441709,0.663107,0.657618,0.828691,0.0742729,0.83,0.136327,0.6748818878586014,1.2137107e-05,0.6885925793792366,0.6915797693968487,0.5893129770992367,0.0543661971830985,0.5893129770992367,0.0995486782720825
Pneumonia,0.765119,0.51558,0.6968,0.696425,0.726619,0.0292288,0.73,0.056197,0.6184004551453413,1.4923927e-05,0.7528094898323225,0.7571099154496541,0.4429967426710097,0.0246913580246913,0.4429967426710097,0.0467755803955288
Fibrosis,0.828327,0.505557,0.723702,0.722608,0.795252,0.0419931,0.798,0.079773,0.6594783261915613,1.943936e-05,0.8175169461291474,0.822914781979374,0.439873417721519,0.0342871238283177,0.439873417721519,0.0636155606407322
Edema,0.900537,0.413506,0.750156,0.746759,0.908511,0.0714644,0.911,0.132506,0.7659080792865826,2.745548e-05,0.8494916161255798,0.8548673371865472,0.5875831485587583,0.0767226404169079,0.5875831485587583,0.1357234314980794
Consolidation,0.812462,0.546624,0.724462,0.722326,0.772632,0.109814,0.774,0.192298,0.6924462459418582,8.162764e-06,0.775062433107385,0.7853259606895591,0.530454042081949,0.0939399882329868,0.530454042081949,0.1596134621792735
