Label,Sensitivity_File1,Specificity_File1,Threshold_File1,Precision_File1,Recall_File1,Accuracy_File1,F1-Score_File1,AUC_File1,Sensitivity_File2,Specificity_File2,Threshold_File2,Precision_File2,Recall_File2,Accuracy_File2,F1-Score_File2,AUC_File2
Cardiomegaly,0.7119266055045872,0.7947346770876182,1.2564913e-05,0.0795244927239188,0.7119266055045872,0.7927220834819836,0.1430678466076696,0.8134150672736751,0.7339449541284404,0.787147493029846,0.005355678,0.0790982796124184,0.7339449541284404,0.7858544416696397,0.1428061406640485,0.8330212750612103
Emphysema,0.753968253968254,0.8401916058394161,1.5446603e-05,0.0978624774658769,0.753968253968254,0.8382536567962897,0.1732391155687258,0.8539706074035452,0.6567460317460317,0.8843065693430657,0.0033088005,0.11545169166376,0.6567460317460317,0.879191937210132,0.1963808958765945,0.8385910888077859
Effusion,0.7177051671732523,0.7750606305578012,0.0016747037,0.2979025390316984,0.7177051671732523,0.7683285765251516,0.4210409004792154,0.815142950207999,0.7169452887537994,0.77339329021827,0.001611576,0.2961393596986817,0.7169452887537994,0.766767748840528,0.4191470457574411,0.8144728447126712
Hernia,0.717948717948718,0.912575385302658,1.0232123e-06,0.0141057934508816,0.717948717948718,0.9122368890474492,0.0276679841897233,0.8499327044781589,0.6666666666666666,0.8676792494974314,0.00024840244,0.0087014725568942,0.6666666666666666,0.8673296468069925,0.0171787248100429,0.8188771097862007
Infiltration,0.5006276675872458,0.7021853478661678,0.050843287,0.2663638792412503,0.5006276675872458,0.6663842311808776,0.3477199407097393,0.6387255441940268,0.5563645493346724,0.6729569979936012,0.0012477308,0.2687037710682672,0.5563645493346724,0.652247591865858,0.3623875715453802,0.6523178949502905
Mass,0.6035398230088496,0.8555461632384709,0.00034132335,0.1814795103778605,0.6035398230088496,0.8428469496967534,0.279050736497545,0.7854592801495457,0.6469026548672566,0.8128580820888514,0.00028876527,0.1550042408821035,0.6469026548672566,0.804495183731716,0.2500855285665412,0.7797620086592176
Nodule,0.5189274447949527,0.7658347513707695,0.00019119836,0.1172487526728439,0.5189274447949527,0.7518729932215483,0.1912790697674418,0.6803588171510062,0.445583596214511,0.8369729627528834,0.0008783801,0.1407573492775286,0.445583596214511,0.8148412415269354,0.2139341158652025,0.6835386468135461
Atelectasis,0.6508007117437722,0.6838322759714512,0.0003941504,0.1865595511349145,0.6508007117437722,0.6805208704958973,0.2899900891972249,0.7186089370832053,0.6000889679715302,0.7576328310864393,0.000280169,0.21622054816477,0.6000889679715302,0.7418391009632537,0.3178979615883115,0.7336014359226001
Pneumothorax,0.682261208576998,0.8321338442845125,0.00015977476,0.16309412861137,0.682261208576998,0.8252764894755619,0.2632568634825122,0.8231544384738732,0.6647173489278753,0.8681652490886999,0.00018122826,0.1946902654867256,0.6647173489278753,0.8588565822333214,0.301170236255244,0.8306196339786542
Pleural_Thickening,0.4854961832061069,0.7882769075290551,4.6066947e-05,0.0645423178404708,0.4854961832061069,0.779432750624331,0.1139376567538516,0.6647522090906637,0.4625954198473282,0.8179521337682025,5.510593e-05,0.0710267229254571,0.4625954198473282,0.8075722440242598,0.1231457020930705,0.6863041463471937
Pneumonia,0.3615635179153094,0.8054889903693991,5.7716334e-06,0.0251529571719918,0.3615635179153094,0.7994113449875134,0.0470338983050847,0.5958602746218329,0.4690553745928338,0.7335533752317223,1.0604355e-05,0.0238529070730495,0.4690553745928338,0.7299322154834106,0.0453972257250945,0.611501035579364
Fibrosis,0.4113924050632911,0.8497828840238828,1.6036709e-05,0.0376702405099971,0.4113924050632911,0.8436050660007135,0.0690204406689673,0.6786473852182495,0.5569620253164557,0.7380586213135517,8.840611e-06,0.0294955589073236,0.5569620253164557,0.7355066000713522,0.0560241922648416,0.7024828345544198
Edema,0.6895787139689579,0.7654394029035635,5.763208e-06,0.056907593778591,0.6895787139689579,0.763913663931502,0.1051386071670047,0.7802840676367278,0.6762749445676275,0.7366313202566787,6.8517356e-06,0.0500656598818122,0.6762749445676275,0.735417409917945,0.0932294054714962,0.764993784450035
Consolidation,0.4983388704318937,0.7323079782537986,3.259448e-05,0.0724521011109322,0.4983388704318937,0.7228861933642526,0.1265111048636491,0.648122725218866,0.5902547065337763,0.7242693183402258,4.193413e-06,0.0824184320395855,0.5902547065337763,0.7188726364609347,0.144640434192673,0.6987371730915894
