Label                     AUC      Threshold Sensitivity  Specificity  Accuracy   Precision  Recall     F1-Score
Cardiomegaly              0.8117   0.50      0.25         0.99         0.97       0.32       0.25       0.28
Emphysema                 0.8630   0.50      0.27         0.99         0.98       0.47       0.27       0.34
Effusion                  0.8710   0.50      0.37         0.96         0.89       0.57       0.37       0.45
Hernia                    0.8779   0.50      0.23         1.00         1.00       0.53       0.23       0.32
Infiltration              0.7056   0.50      0.06         0.99         0.82       0.50       0.06       0.11
Mass                      0.8186   0.50      0.26         0.98         0.95       0.44       0.26       0.33
Nodule                    0.7342   0.50      0.11         0.99         0.94       0.39       0.11       0.17
Atelectasis               0.7954   0.50      0.12         0.99         0.90       0.48       0.12       0.19
Pneumothorax              0.8697   0.50      0.30         0.98         0.95       0.49       0.30       0.37
Pleural_Thickening        0.7159   0.50      0.10         0.99         0.96       0.22       0.10       0.14
Pneumonia                 0.6314   0.50      0.01         1.00         0.99       0.07       0.01       0.01
Fibrosis                  0.6991   0.50      0.05         1.00         0.98       0.30       0.05       0.09
Edema                     0.7677   0.50      0.11         0.99         0.98       0.31       0.11       0.17
Consolidation             0.7311   0.50      0.06         0.99         0.95       0.16       0.06       0.09
