Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score
Cardiomegaly,0.8577683514542661,0.5,0.9758294684266857,0.9998628822158234,0.011009174311926606,0.6666666666666666,0.011009174311926606,0.021660649819494584
Emphysema,0.8639307076236822,0.5,0.977613271494827,0.9995437956204379,0.023809523809523808,0.5454545454545454,0.023809523809523808,0.045627376425855515
Effusion,0.8388962727564236,0.5,0.882625758116304,1.0,0.0,0.0,0.0,0.0
Hernia,0.725886725886726,0.5,0.0020067784516589367,0.0002680366316729953,1.0,0.0017396734766705326,1.0,0.0034733045375606713
Infiltration,0.6658200693329492,0.5,0.8223778094898323,1.0,0.0,0.0,0.0,0.0
Mass,0.7689153162093938,0.5,0.949607563325009,1.0,0.0,0.0,0.0,0.0
Nodule,0.6885494930851663,0.5,0.9434534427399215,1.0,0.0,0.0,0.0,0.0
Atelectasis,0.7646143210212762,0.5,0.8997502675704602,1.0,0.0,0.0,0.0,0.0
Pneumothorax,0.8458157354524944,0.5,0.9542900463788798,1.0,0.0009746588693957114,1.0,0.0009746588693957114,0.0019474196689386564
Pleural_Thickening,0.7471799838624783,0.5,0.9707902247591866,1.0,0.0,0.0,0.0,0.0
Pneumonia,0.6614844742625059,0.5,0.9863093114520157,1.0,0.0,0.0,0.0,0.0
Fibrosis,0.7455954857969964,0.5,0.9859079557616839,1.0,0.0,0.0,0.0,0.0
Edema,0.8575347914892122,0.5,0.9798876204067071,1.0,0.0,0.0,0.0,0.0
Consolidation,0.7559659078775615,0.5,0.9597306457367106,1.0,0.0,0.0,0.0,0.0
