Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.8329353563028685,0.1,0.9595522654298966,0.9748617395676219,0.344954128440367,0.25474254742547425,0.344954128440367,0.2930631332813718,188,550,21329,357
Emphysema,0.859637996393813,0.1,0.968649661077417,0.981021897810219,0.4305555555555556,0.34281200631911535,0.4305555555555556,0.3817062445030783,217,416,21504,287
Effusion,0.8225480406562597,0.1,0.8629593292900464,0.9033447857720291,0.5592705167173252,0.43485967503692763,0.5592705167173252,0.48928037227854415,1472,1913,17879,1160
Hernia,0.8663883209337755,0.44999999999999996,0.9982161969318587,0.9995085995085995,0.2564102564102564,0.47619047619047616,0.2564102564102564,0.3333333333333333,10,11,22374,29
Infiltration,0.6456622631978436,0.05,0.6944345344273992,0.7460549861721165,0.45543560130554855,0.2792057872864399,0.45543560130554855,0.34618320610687026,1814,4683,13758,2169
Mass,0.7864292446831588,0.05,0.916250445950767,0.942002442002442,0.43097345132743364,0.28281068524970965,0.43097345132743364,0.34151472650771386,487,1235,20059,643
Nodule,0.7019831797797107,0.1,0.9022029967891545,0.9385517110985063,0.29574132492113564,0.22388059701492538,0.29574132492113564,0.254841997961264,375,1300,19856,893
Atelectasis,0.7423645121330865,0.05,0.8256778451658937,0.8665741475019826,0.45862989323843417,0.2769272092398603,0.45862989323843417,0.34533578964997486,1031,2692,17484,1217
Pneumothorax,0.8381686169864848,0.05,0.922449161612558,0.9440134592017946,0.4727095516569201,0.28817587641117054,0.4727095516569201,0.3580657069029162,485,1198,20200,541
Pleural_Thickening,0.6989648070878858,0.05,0.9298965394220478,0.950893472368965,0.23206106870229007,0.12448812448812449,0.23206106870229007,0.16204690831556504,152,1069,20700,503
Pneumonia,0.6045203926585869,0.05,0.9669996432393864,0.9796988741691911,0.05211726384364821,0.034408602150537634,0.05211726384364821,0.04145077720207254,16,449,21668,291
Fibrosis,0.7199032854823159,0.05,0.9629860863360685,0.9743079428261263,0.17088607594936708,0.08681672025723473,0.17088607594936708,0.11513859275053305,54,568,21540,262
Edema,0.807240300861075,0.05,0.94760078487335,0.9605879943567105,0.3148558758314856,0.14087301587301587,0.3148558758314856,0.19465387251542152,142,866,21107,309
Consolidation,0.685208652724427,0.05,0.8934177666785587,0.9191487384415222,0.28017718715393136,0.12694430506773707,0.28017718715393136,0.17472375690607736,253,1740,19781,650
