iteration,loss_type,loss_gamma,use_class_weights,learning_rate,num_epochs,weight_decay,early_stop_monitor,loss_alpha,dropout_rate
7,BCE → FocalLoss,nan → 2.0,False → True,0.0001 → 0.001,10 → 20,0.0001 → 0.0,val_macro_auc → unknown,,
9,,2.0 → 3.0,,0.001 → 0.0001,20 → 30,,,,
10,,3.0 → 2.0,,0.0001 → 0.001,30 → 40,,,nan → 0.25,0.3 → 0.5
12,,2.0 → 3.0,,0.001 → 0.0005,40 → 50,,,0.25 → 0.75,0.5 → 0.3
13,,3.0 → 4.0,,0.0005 → 0.0001,50 → 60,,,0.75 → 0.5,0.3 → 0.2
14,,4.0 → 5.0,,0.0001 → 5e-05,60 → 70,,,0.5 → 0.75,0.2 → 0.1
16,,5.0 → 2.0,,,70 → 90,,,0.75 → 0.6,0.1 → 0.2
17,,2.0 → 3.0,,5e-05 → 1e-05,90 → 100,,,0.6 → 0.7,0.2 → 0.3
19,,3.0 → 2.5,,,100 → 120,,,0.7 → 0.8,0.3 → 0.4
20,,2.5 → 3.0,,,120 → 150,,,0.8 → 0.7,
23,FocalLoss → focal,3.0 → 2.0,,,150 → 200,,,0.7 → 0.8,0.4 → 0.5
30,focal → FocalLoss,,,1e-05 → 0.001,200 → 20,,,0.8 → nan,0.5 → 0.3
40,,2.0 → 3.5,,,20 → 60,,,nan → 0.5,0.3 → 0.2
41,,3.5 → 2.0,,,,,,,
42,,2.0 → 4.0,,,,,,,
43,,4.0 → 2.5,,,,,,,
49,,2.5 → 3.5,,0.001 → 0.0001,,,,,0.2 → 0.3
50,,3.5 → 3.0,,0.0001 → 0.0005,60 → 50,,,0.5 → 0.75,
51,,,,0.0005 → 0.0001,,,,,
56,,,,0.0001 → 0.0005,,,,,
60,,3.0 → 2.0,True → False,,,,unknown → val_f1,0.75 → 0.7,
64,,,,0.0005 → 0.0001,50 → 35,0.0 → 0.01,,,0.3 → 0.5
65,,,False → True,0.0001 → 0.0005,,0.01 → 0.0001,,,0.5 → 0.3
75,,,True → False,,,,,0.7 → nan,
78,,2.0 → 1.5,,,,,,,
80,,1.5 → 3.0,False → True,,35 → 50,0.0001 → 0.0,val_f1 → unknown,nan → 0.75,
87,FocalLoss → BCE,3.0 → nan,True → False,0.0005 → 0.0001,50 → 15,0.0 → 0.0001,unknown → val_macro_auc,0.75 → nan,
89,,,,,15 → 50,,,,
121,,,,0.0001 → 1e-05,50 → 5,,,,
122,,,,1e-05 → 0.0001,5 → 10,,,,
123,BCE → FocalLoss,nan → 3.0,False → True,0.0001 → 0.0005,10 → 50,0.0001 → 0.0,val_macro_auc → unknown,nan → 0.75,
126,FocalLoss → BCE,3.0 → nan,True → False,0.0005 → 0.0001,50 → 10,0.0 → 0.0001,unknown → val_macro_auc,0.75 → nan,
