iteration,avg_f1,avg_auc,avg_recall,avg_precision,Infiltration_f1,Infiltration_auc,Infiltration_precision,Infiltration_recall,Effusion_f1,Effusion_auc,Effusion_precision,Effusion_recall,Atelectasis_f1,Atelectasis_auc,Atelectasis_precision,Atelectasis_recall,Nodule_f1,Nodule_auc,Nodule_precision,Nodule_recall,Mass_f1,Mass_auc,Mass_precision,Mass_recall,Pneumonia_f1,Pneumonia_auc,Pneumonia_precision,Pneumonia_recall
1,0.13442588917680814,0.817167311984714,0.09579497270982826,0.35828989745827255,0.0196463654223968,0.7007806740275148,0.449438202247191,0.0100426813959327,0.4232013940751805,0.8748149255294577,0.6137184115523465,0.3229483282674772,0.0981996726677577,0.8025926671800611,0.6122448979591837,0.0533807829181494,0.1079187105816398,0.750956578828865,0.4842767295597484,0.0607255520504731,0.2862770847012475,0.8602587998946066,0.55470737913486,0.1929203539823009,0.0,0.7474959568737124,0.0,0.0
2,0.13954234268218849,0.8173619392900567,0.10307044197021956,0.358712628573549,0.0,0.6930453355778925,0.0,0.0,0.0,0.8723244347597998,0.0,0.0,0.0,0.797040767668009,0.0,0.0,0.0,0.7395428685689542,0.0,0.0,0.0017667844522968,0.8456580273973058,0.5,0.0008849557522123,0.0167597765363128,0.7181224105913487,0.0588235294117647,0.009771986970684
3,0.140139847973412,0.8178671008305886,0.10177632635459978,0.3610181179524798,0.0,0.6761438584021678,0.0,0.0,0.0,0.8630874410741007,0.0,0.0,0.0,0.792621725964537,0.0,0.0,0.003147128245476,0.7441593185189427,0.6666666666666666,0.001577287066246,0.0840197693574958,0.8321595222718436,0.6071428571428571,0.0451327433628318,0.0,0.6544721667519157,0.0,0.0
4,0.13792099487831597,0.817563577705786,0.09941805348244696,0.3618423226508295,0.0390361445783132,0.7008538797889512,0.4850299401197604,0.0203364298267637,0.4194681384846964,0.8749629889452125,0.6174298375184638,0.3176291793313069,0.0975010241704219,0.8021341575805511,0.616580310880829,0.0529359430604982,0.1139680333564975,0.7514610184341884,0.47953216374269,0.0646687697160883,0.2948051948051948,0.859778108586822,0.5536585365853659,0.2008849557522123,0.0,0.7490828682934214,0.0,0.0
5,0.13981749246278138,0.8169745323071752,0.10358435805683286,0.38451105687813175,0.0287384315635655,0.7009767516500193,0.4796747967479675,0.0148129550590007,0.4218985434455047,0.8750259154169934,0.6222222222222222,0.3191489361702128,0.0960985626283367,0.8021421389459589,0.6256684491978609,0.0520462633451957,0.1132075471698113,0.7507771061360016,0.4969325153374233,0.0638801261829653,0.2817460317460317,0.8600304336008898,0.5575916230366492,0.1884955752212389,0.0,0.7486391222045506,0.0,0.0
7,0.0005201357576374215,0.714746094993129,0.0715702947845805,0.003525589686463236,0.0,0.6663837414428598,0.0,0.0,0.0,0.770269580230138,0.0,0.0,0.0,0.7116880019000059,0.0,0.0,0.0,0.6461593626555443,0.0,0.0,0.0,0.6649283399453583,0.0,0.0,0.0,0.6515378165777825,0.0,0.0
8,0.00024802691410000715,0.7533008210506951,0.07142857142857142,0.00012422914224555,0.0,0.6775250061936268,0.0,0.0,0.0,0.8256677769471192,0.0,0.0,0.0,0.7351935419377098,0.0,0.0,0.0,0.6362281986063569,0.0,0.0,0.0,0.7332685845279446,0.0,0.0,0.0,0.7101413139096358,0.0,0.0
9,0.025895425167581386,0.775373888412686,0.08559046633671794,0.23146302692622603,0.0,0.6952384723628101,0.0,0.0,0.0,0.8636085521183223,0.0,0.0,0.0,0.7906162866419635,0.0,0.0,0.0,0.7210815979895182,0.0,0.0,0.0035304501323918,0.8051295350138099,0.6666666666666666,0.0017699115044247,0.0,0.6349260572916996,0.0,0.0
10,0.005887124658460907,0.7883191121539401,0.07440476190476189,0.05369565771367412,0.0,0.6929432259980576,0.0,0.0,0.0,0.8667031024631856,0.0,0.0,0.0,0.7663801099258906,0.0,0.0,0.0,0.6973775589536761,0.0,0.0,0.0,0.8229420851442635,0.0,0.0,0.0,0.7199066734080333,0.0,0.0
11,0.00024802691410000715,0.7604785925860088,0.07142857142857142,0.00012422914224555,0.0,0.6824752309728908,0.0,0.0,0.0,0.8458769454607554,0.0,0.0,0.0,0.759545294116402,0.0,0.0,0.0,0.6749491198923065,0.0,0.0,0.0,0.7823311814121889,0.0,0.0,0.0,0.7008676392163147,0.0,0.0
12,0.0028660317373975287,0.8008795663804592,0.07276729275781109,0.12512422914224555,0.0,0.7031497388111829,0.0,0.0,0.0,0.8693888131092234,0.0,0.0,0.0,0.7997398030781083,0.0,0.0,0.0,0.7433058866297709,0.0,0.0,0.0017683465959328,0.8536908065839313,1.0,0.0008849557522123,0.0,0.7400245864494113,0.0,0.0
13,0.01707603831155363,0.7721689608023535,0.08048437097896641,0.15893681985342117,0.0,0.6997434857593827,0.0,0.0,0.0,0.8626419550559865,0.0,0.0,0.0,0.7836668544565827,0.0,0.0,0.0,0.7229182994227052,0.0,0.0,0.0,0.8114768504319221,0.0,0.0,0.0,0.6406074947285822,0.0,0.0
14,0.03320067631518842,0.7771538557257542,0.09294066772089403,0.2085934008849619,0.0,0.6843543603778998,0.0,0.0,0.0,0.8497840401113833,0.0,0.0,0.0,0.7761070352252492,0.0,0.0,0.0,0.7070635672931082,0.0,0.0,0.0088028169014084,0.79547951103431,0.8333333333333334,0.0044247787610619,0.0,0.6579032091546305,0.0,0.0
15,0.017975859857327168,0.7844173281715439,0.0811748450677294,0.14880149444174243,0.0,0.685265327590745,0.0,0.0,0.0,0.8620007116565471,0.0,0.0,0.0,0.7786161824873498,0.0,0.0,0.0,0.7094646506081009,0.0,0.0,0.0,0.800884581721886,0.0,0.0,0.0,0.6723377701560209,0.0,0.0
16,0.05258007321136164,0.7550028571223031,0.1032531303149079,0.3022812506924649,0.0,0.687114593347305,0.0,0.0,0.0,0.8533119538181893,0.0,0.0,0.0,0.7685486380880282,0.0,0.0,0.0015760441292356,0.7055380028068493,1.0,0.000788643533123,0.0704697986577181,0.8047407512690018,0.6774193548387096,0.0371681415929203,0.0061349693251533,0.6252072373764694,0.0526315789473684,0.003257328990228
