Label,AUC,Threshold,Accuracy,Specificity,Recall,Precision,Sensitivity,F1_Score,TP,FP,TN,FN
Cardiomegaly,0.8436099967670395,0.15,0.9486264716375312,0.9622011974953152,0.4036697247706422,0.21012416427889208,0.4036697247706422,0.27638190954773867,220,827,21052,325
Emphysema,0.8634498826903024,0.3,0.9739564752051374,0.9891879562043796,0.3115079365079365,0.39847715736040606,0.3115079365079365,0.34966592427616927,157,237,21683,347
Effusion,0.8163985809562304,0.15,0.8465037459864431,0.8880355699272433,0.53419452887538,0.38818332413031476,0.53419452887538,0.4496322353693636,1406,2216,17576,1226
Hernia,0.601091046545592,0.95,0.07224402425972172,0.07062765244583426,1.0,0.001871131794847191,1.0,0.003735274399003927,39,20804,1581,0
Infiltration,0.6516402685492841,0.15,0.6811006064930432,0.723008513638089,0.48707004770273665,0.27525539160045404,0.48707004770273665,0.3517360166802647,1940,5108,13333,2043
Mass,0.8060585847856099,0.15,0.9159828754905458,0.9424720578566732,0.4168141592920354,0.2777122641509434,0.4168141592920354,0.3333333333333333,471,1225,20069,659
Nodule,0.690263309123811,0.15,0.8935515519086693,0.9305634335413122,0.27602523659305994,0.19241341396371633,0.27602523659305994,0.22675736961451248,350,1469,19687,918
Atelectasis,0.7205765751599449,0.15,0.8028897609703889,0.8438739095955591,0.43505338078291816,0.2369186046511628,0.43505338078291816,0.3067754077791719,978,3150,17026,1270
Pneumothorax,0.8403761523685421,0.2,0.9150463788797717,0.9364426581923544,0.46881091617933723,0.2612710483432917,0.46881091617933723,0.33554237879316356,481,1360,20038,545
Pleural_Thickening,0.7015759156079852,0.15,0.8806635747413486,0.8978363728237402,0.3099236641221374,0.08364235681911825,0.3099236641221374,0.1317326411421155,203,2224,19545,452
Pneumonia,0.630188371908413,0.05,0.9074652158401713,0.917303431749333,0.1986970684039088,0.032275132275132276,0.1986970684039088,0.055530268548020026,61,1829,20288,246
Fibrosis,0.7098777749276852,0.3,0.9682483053870853,0.9799167722091551,0.1518987341772152,0.0975609756097561,0.1518987341772152,0.1188118811881188,48,444,21664,268
Edema,0.8296036165328078,0.15,0.9457723867285052,0.9585400263960315,0.3237250554323725,0.13812677388836328,0.3237250554323725,0.19363395225464192,146,911,21062,305
Consolidation,0.686587588635129,0.15,0.7770692115590438,0.7907160447934576,0.45182724252491696,0.08306188925081433,0.45182724252491696,0.14032674118658642,408,4504,17017,495
